scheduler,num_requests,num_frames,mean_excess_latency_s,mean_percent_excess,mean_excess_latency_adj_s,mean_percent_excess_adj,total_energy_j,requests_per_joule,frames_per_joule,max_temperature_c,mean_temperature_c,min_temperature_c,max_gpu_freq_mhz,avg_gpu_freq_mhz,min_gpu_freq_mhz,num_time_out,percent_time_out,percent_requests_within_constraint,percent_frames_within_constraint,percent_completed_frames_within_constraint,percent_requests_within_adj,percent_frames_within_adj,percent_completed_frames_within_adj
Fixed Batch (16),3222,18015,15.090,169.241,14.332,159.177,17219.552,0.187,1.046,50.500,44.466,37.500,1377,842.738,114,5760,31.973,27.939,36.897,50.589,32.672,40.672,55.121
Fixed Batch (32),3222,18015,13.437,164.205,11.639,141.561,17049.006,0.189,1.057,51.000,45.106,40.000,1377,803.976,114,5819,32.301,16.872,25.246,35.370,24.596,33.700,46.471
Fixed Batch (8),3222,18015,18.774,171.750,18.392,166.929,17922.557,0.180,1.005,51.500,46.637,37.000,1377,873.115,114,5664,31.440,43.064,42.570,56.254,45.843,44.718,58.774
Interval (0.2),3222,18015,56.931,621.978,56.735,619.804,22885.543,0.141,0.787,52.000,46.831,41.500,1377,1306.179,114,1227,6.811,24.487,36.669,38.345,24.766,37.030,38.712
Interval (0.5),3222,18015,112.250,1171.457,112.024,1169.147,28397.666,0.113,0.634,54.000,47.812,41.500,1377,1315.653,114,10550,58.562,7.286,6.966,15.978,7.328,7.111,16.261
Interval (1.0),3222,18015,112.359,1157.778,112.100,1155.155,25778.486,0.125,0.699,50.500,47.373,41.500,1377,1282.533,114,14001,77.719,3.811,4.441,17.254,3.848,4.496,17.515
No Scheduler,3222,18015,59.742,514.737,59.563,513.083,19550.956,0.165,0.921,52.000,45.514,39.000,1377,873.108,114,5821,32.312,43.652,40.028,55.559,44.308,40.427,56.093
Our Scheduler (pred),3222,18015,25.886,255.051,23.826,238.033,15118.854,0.213,1.192,50.000,44.927,41.500,1032,613.877,114,5621,31.202,31.856,24.380,30.132,39.762,38.551,50.215
Our Scheduler (prof),3222,18015,26.288,294.568,24.395,278.282,17208.228,0.187,1.047,50.000,45.363,41.000,1377,777.439,114,5303,29.437,31.843,28.010,35.875,38.065,38.540,49.447
