experiment_type,experiment_id,timestamp,scheduler,prediction_mode,batch_size,interval,num_requests,num_frames,mean_excess_latency_s,mean_percent_excess,total_energy_j,requests_per_joule,frames_per_joule,max_temperature_c,mean_temperature_c,min_temperature_c,max_gpu_freq_mhz,avg_gpu_freq_mhz,min_gpu_freq_mhz,num_time_out,percent_time_out,percent_requests_within_constraint,percent_frames_within_constraint,percent_completed_frames_within_constraint,mean_excess_latency_adj_s,mean_percent_excess_adj,percent_requests_within_adj,percent_frames_within_adj,percent_completed_frames_within_adj
fixed_batch_8,0,2025-02-07 22:24:50,Fixed Batch Scheduler,,8.0,,1031,1944,1.4152317385614654,46.332899475297225,2015.1968000000002,0.9646700510838444,0.9646700510838444,49.5,47.35064338235294,45.0,1377,1345.6213235294117,114,0,0.0,68.51851851851852,68.51851851851852,68.51851851851852,1.1571708208739513,39.0376879154216,73.5082304526749,73.5082304526749,73.5082304526749
fixed_batch_16,0,2025-02-07 22:31:05,Fixed Batch Scheduler,,16.0,,1031,1944,7.245896812206433,174.73250000571414,2041.3208,0.9523245929792123,0.9523245929792123,50.0,47.58326324642557,45.5,1377,1304.2884777123634,114,0,0.0,28.600823045267486,28.600823045267486,28.600823045267486,6.160546509375788,152.6323043874098,35.54526748971193,35.54526748971193,35.54526748971193
fixed_batch_32,0,2025-02-07 22:37:43,Fixed Batch Scheduler,,32.0,,1031,1944,10.15161201713507,229.03883822764774,2001.9044000000001,0.9710753420592911,0.9710753420592911,49.5,47.36493808049536,45.5,1377,1016.2291021671826,114,0,0.0,18.878600823045268,18.878600823045268,18.878600823045268,7.826219657860666,183.7745603163001,29.372427983539097,29.372427983539097,29.372427983539097
interval_0.2,0,2025-02-07 21:55:43,Interval Scheduler,,,0.2,1031,1944,19.749148668330392,396.6216521166366,2340.7824,0.8304915484668716,0.8304915484668716,47.5,44.91322662173547,42.0,1377,1346.5054759898906,114,0,0.0,22.7880658436214,22.7880658436214,22.7880658436214,19.52052386032701,392.3357581623527,23.14814814814815,23.14814814814815,23.14814814814815
interval_0.5,0,2025-02-07 22:02:20,Interval Scheduler,,,0.5,1031,1944,125.20778979190976,2298.947195837773,3871.8042,0.5020915055570218,0.5020915055570218,48.5,46.096407927332784,43.5,1377,1358.0928984310488,114,770,39.609053497942384,9.053497942386832,9.053497942386832,14.991482112436117,124.9848766743629,2294.986961225707,9.053497942386832,9.053497942386832,14.991482112436117
interval_1,0,2025-02-07 22:13:36,Interval Scheduler,,,1.0,1031,1944,124.44898393440246,2195.3551476743673,3431.2156,0.5665630571276256,0.5665630571276256,48.5,46.46363636363636,45.0,1377,1266.5929752066115,114,1444,74.2798353909465,1.646090534979424,1.646090534979424,6.4,124.19778393440245,2191.0774303361504,1.646090534979424,1.646090534979424,6.4
transparent,0,2025-02-07 21:49:28,No Scheduler,,,,1031,1944,1.9115821036046425,40.25154404348185,2239.2106000000003,0.8681630928328045,0.8681630928328045,45.0,42.65050784856879,39.0,1377,1351.9039704524469,114,0,0.0,71.86213991769547,71.86213991769547,71.86213991769547,1.830433745295913,38.536949854869164,73.25102880658436,73.25102880658436,73.25102880658436
loud_prof,0,2025-02-07 22:51:05,Our Scheduler,prof,,,1031,1944,2.6796170668101604,59.304865969255715,1693.3232,1.1480383662138451,1.1480383662138451,49.0,47.20252572497662,45.5,1377,957.776426566885,114,0,0.0,57.3045267489712,57.3045267489712,57.3045267489712,2.038707797591088,46.70384607761214,64.45473251028807,64.45473251028807,64.45473251028807
loud_pred,0,2025-02-07 22:44:48,Our Scheduler,pred,,,1031,1944,2.390231406247174,52.38627498613604,1603.2146,1.212563807739775,1.212563807739775,49.0,47.14467483506126,45.5,1032,860.1762488218661,114,0,0.0,60.13374485596707,60.13374485596707,60.13374485596707,1.7966690381858572,40.487477006606575,66.56378600823045,66.56378600823045,66.56378600823045
fixed_batch_8,1,2025-02-07 23:35:12,Fixed Batch Scheduler,,8.0,,58,2458,0.4257302643129552,2.669259737370867,2478.1114000000002,0.991884384212913,0.991884384212913,50.5,48.53719008264463,46.0,1377,1326.6093163035312,114,0,0.0,78.60048820179007,78.60048820179007,78.60048820179007,0.2664294036837301,1.690363408273047,85.80146460537021,85.80146460537021,85.80146460537021
fixed_batch_16,1,2025-02-07 23:42:21,Fixed Batch Scheduler,,16.0,,58,2458,0.518917345050101,3.2706987462326573,2374.647,1.035101217149328,1.035101217149328,50.0,48.201050262565644,46.0,1377,1313.112528132033,114,0,0.0,79.45484133441822,79.45484133441822,79.45484133441822,0.22846928923182397,1.4747606228806553,88.28315703824248,88.28315703824248,88.28315703824248
fixed_batch_32,1,2025-02-07 23:49:32,Fixed Batch Scheduler,,32.0,,58,2458,1.0609871674786746,6.8779085160774125,2356.5505999999996,1.0430499561520132,1.0430499561520132,50.0,47.98799699924981,46.0,1377,1301.8297074268567,114,0,0.0,63.0187144019528,63.0187144019528,63.0187144019528,0.37204205731825657,2.472890905509739,83.48250610252238,83.48250610252238,83.48250610252238
interval_0.2,1,2025-02-07 23:04:23,Interval Scheduler,,,0.2,58,2458,1.1233914707422838,7.000939882458431,2547.8582,0.9647318677311005,0.9647318677311005,50.5,48.48014018691589,45.5,1377,1334.3714953271028,114,0,0.0,82.91293734743694,82.91293734743694,82.91293734743694,0.9334141857746271,5.80319611580715,84.78437754271766,84.78437754271766,84.78437754271766
