experiment_type,experiment_id,timestamp,scheduler,prediction_mode,batch_size,interval,num_requests,num_frames,mean_excess_latency_s,mean_percent_excess,total_energy_j,requests_per_joule,frames_per_joule,max_temperature_c,mean_temperature_c,min_temperature_c,max_gpu_freq_mhz,avg_gpu_freq_mhz,min_gpu_freq_mhz,num_time_out,percent_time_out,percent_requests_within_constraint,percent_frames_within_constraint,percent_completed_frames_within_constraint,mean_excess_latency_adj_s,mean_percent_excess_adj,percent_requests_within_adj,percent_frames_within_adj,percent_completed_frames_within_adj
fixed_batch_8,0,2025-02-14 15:15:05,Fixed Batch Scheduler,,8.0,,200,538,0.09980914396190997,5.990683693915335,1662.914,0.32352845667304503,0.32352845667304503,47.0,45.58690909090909,44.0,1377,874.189090909091,114,0,0.0,95.35315985130111,95.35315985130111,95.35315985130111,0.06245793989758685,3.7900182744625663,96.28252788104089,96.28252788104089,96.28252788104089
fixed_batch_16,0,2025-02-14 15:22:29,Fixed Batch Scheduler,,16.0,,200,538,0.6311467865678013,23.980770626972227,1792.194,0.30019071596043734,0.30019071596043734,49.0,45.79890909090909,44.5,1377,888.3381818181819,114,0,0.0,84.01486988847584,84.01486988847584,84.01486988847584,0.4272672809424418,17.200143776617935,88.84758364312268,88.84758364312268,88.84758364312268
fixed_batch_32,0,2025-02-14 15:29:50,Fixed Batch Scheduler,,32.0,,200,538,2.9474768903790727,72.2651586198362,1974.8618000000004,0.2724241260831517,0.2724241260831517,50.0,46.27769461077844,44.5,1377,805.5486526946107,114,0,0.0,55.01858736059479,55.01858736059479,55.01858736059479,1.8034259242867392,49.65932077006909,67.4721189591078,67.4721189591078,67.4721189591078
interval_0.2,0,2025-02-14 14:50:54,Interval Scheduler,,,0.2,200,538,0.0,0.0,1667.9732000000001,0.32254714883908203,0.32254714883908203,46.5,44.16933638443936,42.5,1377,905.9077040427155,114,0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0
interval_0.5,0,2025-02-14 14:58:02,Interval Scheduler,,,0.5,200,538,0.2825411111256199,5.866883175230486,1730.2256,0.31094211067042354,0.31094211067042354,48.5,44.73204837490552,43.5,1377,888.374149659864,114,0,0.0,90.14869888475836,90.14869888475836,90.14869888475836,0.2524108573618608,5.229785351818896,90.70631970260223,90.70631970260223,90.70631970260223
interval_1,0,2025-02-14 15:05:13,Interval Scheduler,,,1.0,200,538,47.880584477489734,487.489053593158,2590.2113999999997,0.20770505449864057,0.20770505449864057,47.5,45.305392156862744,43.5,1377,1025.7946078431373,114,0,0.0,41.82156133828997,41.82156133828997,41.82156133828997,47.72832327615665,485.7821438847714,42.00743494423792,42.00743494423792,42.00743494423792
transparent,0,2025-02-14 14:43:46,No Scheduler,,,,200,538,0.0,0.0,1802.0626000000002,0.2985467874423452,0.2985467874423452,48.0,43.79465648854962,42.5,1377,886.8687022900764,114,0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0
loud_prof,0,2025-02-14 15:44:22,Our Scheduler,prof,,,200,538,0.07660480080952697,3.1866512615043088,1548.2628,0.3474862277902692,0.3474862277902692,49.0,46.19484457922669,45.0,1377,660.1652767247915,114,0,0.0,97.21189591078067,97.21189591078067,97.21189591078067,0.043910358036225616,2.3192962476629235,97.76951672862454,97.76951672862454,97.76951672862454
loud_pred,0,2025-02-14 15:37:04,Our Scheduler,pred,,,200,538,1.9544648454224545,27.854639507615552,1951.9006000000004,0.27562878970373794,0.27562878970373794,50.0,46.29828486204325,44.5,1377,599.9634601043997,114,0,0.0,64.49814126394052,64.49814126394052,64.49814126394052,1.2443644683980837,21.36130918185348,74.72118959107806,74.72118959107806,74.72118959107806
fixed_batch_8,1,2025-02-14 16:40:29,Fixed Batch Scheduler,,8.0,,731,3228,21.612031610342203,167.35105946032562,3097.685,1.0420685124536548,1.0420685124536548,51.5,47.84423868312757,45.0,1377,696.4119341563786,114,1592,49.3184634448575,30.483271375464682,30.483271375464682,60.14669926650367,21.254329898850752,163.26466576675367,30.483271375464682,30.483271375464682,60.14669926650367
