scheduler,num_requests,num_frames,mean_excess_latency_s,mean_percent_excess,mean_excess_latency_adj_s,mean_percent_excess_adj,total_energy_j,requests_per_joule,frames_per_joule,max_temperature_c,mean_temperature_c,min_temperature_c,max_gpu_freq_mhz,avg_gpu_freq_mhz,min_gpu_freq_mhz,num_time_out,percent_time_out,percent_requests_within_constraint,percent_frames_within_constraint,percent_completed_frames_within_constraint,percent_requests_within_adj,percent_frames_within_adj,percent_completed_frames_within_adj
Fixed Batch (16),4015,17515,16.428,177.828,15.633,168.748,16510.786,0.243,1.061,51.500,45.734,41.500,1377,784.103,114,7376,42.112,28.504,33.531,48.769,30.131,35.170,51.392
Fixed Batch (32),4015,17515,15.799,187.634,14.081,167.234,16499.915,0.243,1.062,53.000,45.856,42.000,1377,761.495,114,7520,42.935,23.011,28.341,40.770,27.266,32.658,48.301
Fixed Batch (8),4015,17515,16.968,173.027,16.560,168.531,17294.509,0.232,1.013,51.500,46.257,41.500,1377,780.915,114,7636,43.597,30.457,35.421,54.185,30.913,35.969,55.258
Interval (0.2),3653,17968,78.349,831.506,78.191,829.954,24790.182,0.147,0.725,52.000,48.299,42.500,1377,1310.225,114,2179,12.127,23.569,34.222,36.060,23.606,34.378,36.220
Interval (0.5),3653,17968,115.775,1037.590,115.567,1035.727,27347.742,0.134,0.657,51.500,48.777,43.500,1377,1314.810,114,10880,60.552,8.532,8.059,14.727,8.563,8.075,14.744
Interval (1.0),3653,17968,122.703,1115.371,122.471,1113.253,26897.208,0.136,0.668,51.000,46.823,41.000,1377,1277.903,114,14265,79.391,3.591,3.528,10.396,3.601,3.534,10.401
No Scheduler,3653,17968,75.166,718.884,75.043,717.749,21036.458,0.174,0.854,52.500,47.290,42.500,1377,756.489,114,8029,44.685,24.359,35.725,54.980,24.502,35.919,55.295
Our Scheduler (pred),4015,17515,86.596,871.825,86.346,869.503,17527.198,0.229,0.999,51.500,45.122,42.500,1377,580.881,114,7303,41.696,17.276,22.375,31.912,19.444,24.813,35.422
Our Scheduler (prof),4015,17515,81.584,815.160,81.329,812.281,23171.500,0.173,0.756,51.000,46.635,42.500,1377,1213.279,114,7203,41.125,19.917,24.368,34.225,22.790,27.725,39.582
