Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,4.08197,1164,8009,231,465,230450,96,4,240456,241782,241895,242503
2,4.16597,1432,8470,224869,1066,232567,99,5,468185,471521,473210,474384
3,4.72641,1514,13975,295713,1405,295593,106,4,588085,820755,821131,826861
6,4.99889,1496,11003,481953,4128,544798,172,3,1213969,1232317,1334119,1340250
4,5.19948,1934,12787,386938,2260,342010,121,4,711488,943715,945106,1076505
5,5.33274,2455,18828,456175,2537,412446,156,4,849154,1082238,1111230,1209104
7,5.74713,1478,29474,507241,5081,624385,192,3,1329595,1364923,1458605,1462648
8,5.77714,1222,24400,609615,10243,623495,211,3,1271348,1274461,1275596,1277403
12,5.99925,808,36033,836111,12951,853770,270,3,1738245,1751968,1752409,1757901
13,5.99925,1021,34081,983272,10432,853316,253,3,1741264,2594833,2600736,2606069
9,6.12423,2009,28623,662479,8916,692821,200,3,1395926,1403769,1404559,1407053
11,6.12423,1678,34835,773375,11838,804923,213,3,1626902,1637068,1642322,1648476
10,6.24922,1079,31975,705731,6726,751319,203,3,1499998,1507361,1509649,1513691
