Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,18.51218,0.030175999999999998,26.9704,0.55862354368
2,21.850630000000002,0.051607,33.9571,1.12764546241
3,21.71327,0.064339,41.2854,1.39701007853
4,21.77972,0.078045,45.9339,1.6997982474000002
5,21.856270000000002,0.091289,48.5947,1.9952370320300001
6,21.8074,0.103278,51.8791,2.2522246572
7,22.0315,0.114531,53.1772,2.5232897265
8,22.478,0.124953,56.5072,2.808693534
9,22.75818,0.13499,57.5048,3.0721267182
10,22.494419999999998,0.14962599999999998,60.1804,3.3657500869199994
11,22.74062,0.157604,60.3708,3.58401267448
12,23.15123,0.16888399999999998,64.8316,3.90987232732
13,23.095,0.181729,63.84,4.197031255
14,22.97185,0.19599899999999998,65.5141,4.50245962815
15,23.176000000000002,0.205946,67.5139,4.773004496
16,23.36375,0.227648,67.5059,5.31871096
17,23.34072,0.23331,69.4678,5.4456233832
18,23.268,0.23576899999999998,67.151,5.485873091999999
19,23.66545,0.247378,67.8066,5.854311690099999
20,23.778779999999998,0.25755,69.1613,6.1242247889999994
21,23.586720000000003,0.26611999999999997,68.1614,6.2768979264
22,23.35925,0.28441299999999997,71.1606,6.643674370249999
23,23.58612,0.29299,72.8026,6.910497298799999
24,23.7954,0.305546,75.7977,7.2705892884
25,24.3001,0.302545,74.4794,7.351873754500001
26,23.53675,0.325248,73.4914,7.655280864
27,24.1126,0.341958,71.4812,8.2454964708
28,24.6672,0.33496,73.7679,8.262525312
29,24.06414,0.350335,78.1045,8.4305104869
30,24.33028,0.35765199999999997,78.1394,8.70177330256
31,24.0385,0.37968999999999997,77.0803,9.127178064999999
32,24.2752,0.37588099999999997,78.8093,9.124586451199999
33,24.502119999999998,0.406159,73.8255,9.95175655708
34,24.665,0.396327,77.4711,9.775405455
35,24.59594,0.412352,75.139,10.14218505088
36,24.22333,0.42399899999999996,74.4044,10.27066769667
37,24.459500000000002,0.42402799999999996,81.445,10.371512866
38,24.459,0.460066,80.4491,11.252754293999999
