Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,11.90106,0.051926,17.2048,0.6179744415599999
2,12.856620000000001,0.09707299999999999,19.3174,1.24803067326
3,12.69133,0.11946799999999999,23.7551,1.51620781244
4,12.818200000000001,0.14566099999999998,25.7785,1.8671118302
5,12.84372,0.166173,27.7901,2.13427948356
6,12.948,0.19374999999999998,30.1219,2.5086749999999998
7,12.98663,0.212613,30.5867,2.76112636419
8,13.02581,0.237029,31.6178,3.08749471849
9,13.258450000000002,0.249191,32.6077,3.3038864139500004
10,13.4058,0.270773,34.7848,3.6299286833999997
11,13.444600000000001,0.29739099999999996,35.6883,3.9983030386
12,13.522450000000001,0.307923,35.4249,4.16387337135
13,13.67446,0.333438,37.1168,4.55958459348
14,13.8192,0.348088,38.6171,4.8102976896000005
15,13.80582,0.375083,38.2765,5.17832838306
16,13.80058,0.38273799999999997,38.2568,5.282006388039999
17,13.83258,0.40465399999999996,37.9037,5.59740882732
18,13.772530000000001,0.408391,40.7834,5.62457729923
19,13.93518,0.43731499999999995,37.9267,6.0940632417
20,13.99693,0.46464099999999997,42.4439,6.50354755213
21,14.03537,0.48323,42.1122,6.7823118451
22,14.06225,0.488747,40.8514,6.87288250075
23,14.192870000000001,0.52144,41.4499,7.400730132800001
24,14.15064,0.546244,39.7758,7.729702196159999
25,14.09408,0.540422,40.5837,7.61675090176
26,14.17866,0.5403249999999999,41.8987,7.6610844645
27,14.20482,0.5956969999999999,42.784,8.461768659539999
28,14.12907,0.6256889999999999,44.765,8.840403679229999
29,14.12455,0.654042,44.5973,9.2380489311
30,14.24286,0.6412,46.9267,9.132521832
31,14.1842,0.638415,47.44,9.055406043
32,14.16192,0.707044,42.437,10.01310056448
33,14.45415,0.6949839999999999,42.9481,10.045402983599999
34,14.33562,0.7385649999999999,45.4381,10.5877871853
35,14.285590000000001,0.7401829999999999,46.4373,10.57395086297
36,14.22756,0.764309,47.2665,10.87425215604
37,14.34338,0.783673,45.2753,11.24051963474
38,14.401,0.811446,40.616,11.685633846
39,14.32796,0.8134779999999999,47.2729,11.655480244879998
40,14.41531,0.849873,43.0905,12.25118275563
41,14.414209999999999,0.861082,42.4455,12.411816775219998
42,14.55035,0.860262,43.9379,12.5171131917
43,14.53026,0.8810209999999999,45.6095,12.80146419546
44,14.29425,0.9200459999999999,45.9391,13.151367535499999
45,14.34647,0.923377,48.2122,13.24720042919
46,14.58343,0.9514549999999999,47.2678,13.87547739065
47,14.42466,0.954359,48.9277,13.766304092939999
48,14.780000000000001,0.978602,49.1239,14.46373756
49,14.52569,1.008031,51.2038,14.64234581639
50,14.50864,1.039865,51.2079,15.0870269336
51,14.6989,1.016491,50.8723,14.941299559900001
52,14.77486,1.01626,52.8545,15.0150992236
53,14.761040000000001,1.036921,52.8731,15.306032357840001
54,14.52232,1.0866829999999998,55.2013,15.781158264559998
55,14.748090000000001,1.0643369999999999,54.8653,15.69693786633
56,14.6995,1.084362,55.8657,15.939579219
57,14.572450000000002,1.0948959999999999,56.8528,15.9553172152
58,14.773,1.112878,57.8627,16.440546694000002
59,14.60975,1.182256,59.8536,17.272464596
60,14.62691,1.211774,59.5224,17.724509238339998
61,14.64817,1.243614,46.2568,18.21666928638
62,14.880469999999999,1.226899,47.1053,18.256833762529997
63,14.540000000000001,1.235377,47.5668,17.96238158
64,14.726270000000001,1.2686,48.4406,18.681746122
65,14.822799999999999,1.282822,49.4372,19.015013941599996
66,14.530940000000001,1.292376,49.2611,18.77943811344
67,14.6779,1.282961,50.7784,18.8311732619
68,14.27983,1.3944029999999998,50.931,19.911837791489997
69,14.73333,1.302752,65.496,19.193875124159998
70,14.67936,1.343591,52.935,19.72305598176
71,14.846110000000001,1.351831,51.5871,20.069431727410002
72,14.798290000000001,1.384399,53.0914,20.486737877710002
73,14.881620000000002,1.3456,53.751,20.024707872
74,14.834760000000001,1.4694289999999999,49.6185,21.798626552039998
75,14.80075,1.403559,55.8971,20.77372586925
76,14.842620000000002,1.505611,50.7221,22.347211940820003
77,14.83733,1.4912539999999999,50.9043,22.126227711819997
78,14.77241,1.466484,51.7158,21.663502906439998
79,14.80481,1.515218,52.9005,22.43251459858
80,14.79944,1.525987,53.7202,22.583753047280002
81,14.713750000000001,1.538902,53.7106,22.6430193025
82,14.808190000000002,1.560894,52.9161,23.11401492186
83,14.79415,1.543625,55.1455,22.83661979375
84,14.851450000000002,1.5475079999999999,55.7144,22.9827376866
85,14.80505,1.6633,44.3235,24.625239665
86,14.855200000000002,1.651222,45.5184,24.529233054400002
87,14.860610000000001,1.713946,44.4369,25.470283067060002
88,14.73961,1.6978099999999998,52.1031,25.0250572541
89,14.860700000000001,1.695125,46.9282,25.1907440875
90,14.92882,1.773768,46.4203,26.48026319376
91,14.718700000000002,1.787164,51.0887,26.304730766800002
92,14.883000000000001,1.839748,48.4283,27.380969484
93,14.55688,1.820517,51.9201,26.50104750696
94,14.88807,1.8916499999999998,50.8969,28.1630176155
95,14.794170000000001,1.7703099999999998,49.6765,26.1902670927
96,14.830620000000001,1.921169,49.283,28.492127394780002
97,14.77273,1.9478259999999998,52.1233,28.774707584979996
98,14.752,1.949633,49.4971,28.760986016
