Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,14.361120000000001,0.037847,22.9812,0.54352530864
2,16.26827,0.067161,26.7994,1.0925932814700001
3,15.905450000000002,0.085145,32.1261,1.3542695402500002
4,15.867540000000002,0.101449,36.4383,1.6097460654600002
5,15.95109,0.115363,38.4357,1.84016559567
6,16.272000000000002,0.132769,40.7385,2.1604171680000004
7,16.36009,0.147663,42.2114,2.41577996967
8,16.591900000000003,0.163184,43.9268,2.7075326096000003
9,16.619,0.17957299999999998,44.7098,2.984323687
10,16.53527,0.18866,46.8666,3.1195440382
11,16.694689999999998,0.206898,48.7236,3.4540979716199995
12,16.805880000000002,0.22022499999999998,48.1889,3.701074923
13,16.84063,0.237196,50.8963,3.99453007348
14,16.98693,0.24232599999999999,51.8745,4.11637479918
15,16.82516,0.257896,50.7547,4.339141463360001
16,17.11587,0.269924,52.7616,4.61998409388
17,17.25709,0.280358,56.2003,4.83816323822
18,17.1993,0.30629,53.8763,5.267973597
19,17.178900000000002,0.321502,51.8606,5.523050707800001
20,17.2565,0.333034,57.836,5.747001221
21,17.30225,0.34205599999999997,56.1653,5.918338426
22,17.3122,0.35894,54.8599,6.214041068
23,17.33716,0.369712,57.8751,6.40975609792
24,17.57826,0.39611399999999997,59.1788,6.962994881639999
25,17.46433,0.39732,54.5129,6.9389275956
26,17.22,0.41837399999999997,56.1952,7.204400279999999
27,17.46125,0.438382,56.8466,7.6546976975
28,17.33212,0.43707599999999996,59.2027,7.575453681119999
29,17.604200000000002,0.44861199999999996,61.5113,7.8974553704
30,17.8445,0.483676,62.515,8.630956381999999
31,17.87788,0.456155,65.5043,8.1550843514
32,17.448580000000003,0.512416,56.8384,8.940931569280002
33,18.12692,0.501362,58.13,9.088148865039999
34,17.9407,0.5216459999999999,59.0157,9.358694392199999
35,17.882,0.547713,54.5181,9.794203866
36,18.11675,0.55359,60.6315,10.029251632500001
37,17.8715,0.5699,58.1788,10.18496785
38,17.686700000000002,0.606815,63.6335,10.7325548605
39,17.9719,0.567929,61.2853,10.2067631951
40,18.0649,0.603285,61.9199,10.8982831965
41,18.1765,0.621526,63.8385,11.297167339000001
42,18.15628,0.6196849999999999,65.419,11.251174371799998
43,18.16522,0.6469509999999999,61.8473,11.75200724422
44,18.22221,0.660906,68.4975,12.04316792226
45,18.31366,0.6780079999999999,63.6394,12.416807989279999
46,18.13137,0.702743,63.6903,12.741693347910001
47,18.27791,0.6993159999999999,66.0909,12.782034909559998
48,17.98492,0.715518,66.6911,12.86853398856
49,18.019330000000004,0.712092,66.4018,12.831420738360002
50,18.142220000000002,0.7317819999999999,53.1973,13.27615003604
51,17.87383,0.690036,55.8397,12.333586157880001
52,18.006,0.76977,66.8795,13.860478619999999
53,18.2238,0.7739389999999999,54.5199,14.104109548199999
54,18.375130000000002,0.7739039999999999,74.7416,14.22058660752
55,18.3187,0.8077479999999999,56.1992,14.796893287599998
56,18.38675,0.805381,58.5326,14.808339101749999
57,18.25475,0.803902,58.1932,14.6750300345
58,18.142599999999998,0.839901,59.8583,15.237987882599999
59,18.047,0.861707,59.8391,15.551226229000001
60,18.56542,0.8663029999999999,61.8481,16.08327904226
61,18.42178,0.849341,62.1756,15.646373046979999
62,18.32555,0.879247,64.513,16.11268486085
63,18.353270000000002,0.920497,64.1466,16.89412997519
64,18.565330000000003,0.886212,64.5073,16.452818229960002
65,18.326610000000002,0.915195,66.7814,16.772421838950002
66,18.58523,0.935881,68.4881,17.39356363763
67,18.12357,0.901863,66.5908,16.34497721091
68,18.38142,0.9569789999999999,69.4864,17.590632930179996
69,18.45494,0.96173,70.4924,17.7486694462
70,18.4628,0.989328,69.0578,18.2657649984
71,18.49541,0.951606,67.1615,17.60034312846
72,18.4938,1.028028,71.814,19.0121442264
73,18.50852,1.0115889999999998,72.8132,18.72301523828
74,18.682080000000003,1.040915,73.8189,19.446457303200003
75,18.54157,1.051191,74.8003,19.49073150987
76,18.49835,1.017541,71.7929,18.822829557349998
77,18.27,1.031818,70.8208,18.85131486
78,18.596259999999997,1.032344,68.0478,19.197737433439997
79,18.48694,1.040169,80.1309,19.22954189286
80,18.47727,1.0739239999999999,72.3923,19.843183707479998
81,18.3796,1.1041269999999999,72.4845,20.293412609199997
82,18.56441,1.0999999999999999,73.8127,20.420850999999995
83,18.454400000000003,1.112627,72.4678,20.532863708800004
84,18.4891,1.118141,73.625,20.6734207631
85,18.510900000000003,1.134996,74.1322,21.0097974564
86,18.411900000000003,1.1491719999999999,75.7879,21.1584399468
87,18.266540000000003,1.161699,74.1297,21.220221251460003
88,18.57527,1.1829589999999999,75.4566,21.973782823929998
89,18.493840000000002,1.214678,77.469,22.464060583520002
90,18.620630000000002,1.199125,76.4558,22.32846294875
91,18.43545,1.2275669999999999,77.1119,22.630750050149995
92,18.56127,1.2130999999999998,77.4582,22.516676636999996
93,18.568900000000003,1.266302,77.452,23.513835207800003
94,18.59,1.25373,78.7802,23.3068407
95,18.60916,1.2680399999999998,78.4723,23.597159246399997
96,18.90518,1.294446,72.0696,24.47173463028
97,18.616,1.306449,79.12,24.320854584
98,18.51875,1.296284,79.7976,24.005559325
99,18.58883,1.3414169999999999,80.114,24.935372572109998
100,18.573880000000003,1.3431959999999998,82.1231,24.94836132048
101,18.58871,1.3717709999999999,82.0779,25.499453305409997
102,18.65226,1.3732499999999999,66.8026,25.614216044999996
103,18.68973,1.392812,84.4578,26.03128022076
104,18.63666,1.4050909999999999,82.7663,26.186203236059995
105,18.665,1.39021,66.8477,25.948269649999997
106,18.798650000000002,1.42242,83.4556,26.739575733000002
107,18.79118,1.4353589999999998,84.1232,26.972089333619998
108,18.602330000000002,1.455938,83.446,27.083839135540003
109,18.69313,1.4660799999999998,66.0166,27.4056240304
110,18.63584,1.462689,66.8271,27.258438173760002
111,18.687,1.511129,65.7728,28.238467623000002
112,18.67192,1.484894,67.8309,27.72582197648
113,18.70627,1.510289,65.8445,28.25187381203
114,18.72289,1.53507,62.8552,28.740946752299998
115,18.74155,1.5562719999999999,66.5937,29.166949501599998
116,18.691599999999998,1.558686,67.1567,29.134335237599995
117,18.75086,1.5132029999999999,61.6249,28.373857604579996
118,18.583660000000002,1.5730849999999998,59.8756,29.2336767911
119,18.51516,1.585994,63.635,29.36493266904
120,18.685599999999997,1.618063,61.8825,30.234477992799995
121,18.693,1.6549099999999999,62.1372,30.93523263
122,18.67766,1.612012,62.3812,30.108612051919998
123,18.66393,1.671165,62.0983,31.19050657845
124,18.72816,1.681952,63.1327,31.499866168319997
125,18.72552,1.6918769999999999,63.1137,31.681276601039997
126,18.7198,1.700335,63.3591,31.829931133
127,18.64243,1.7237859999999998,63.6073,32.13555983998
128,18.83344,1.7347599999999999,63.8646,32.671498374399995
