Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,2.38073,1764,10440,257,492,406306,148,6,419258,421468,422584,423828
2,2.42799,2274,9721,400340,1836,409162,154,9,823610,825732,826457,826989
3,2.72162,2331,12306,480243,3068,565252,184,13,1059254,1065619,1066590,1469867
4,2.99962,2859,11765,635027,3930,643757,203,10,1297575,1301882,1304114,1304414
5,2.99925,3099,12171,741172,5268,802113,224,48,1564373,1567579,1568500,1568968
6,2.93275,2705,12509,806827,5732,987124,334,7,1815489,1820333,1821993,1822617
7,3.06193,2898,16602,1012593,6583,1042404,323,9,2082023,2087018,2087644,2089209
8,2.99944,2431,17569,1067764,7294,1242330,299,7,2337807,2341853,2344443,2345536
9,3.26601,2437,18318,1262765,7999,1300712,305,7,2593343,2598762,2599667,2601283
10,2.9994,2464,20992,1403730,8847,1414800,336,6,2850928,2855667,2856613,2857649
11,2.85673,2945,17548,1692758,8642,1414881,338,7,2853641,4273800,4279150,4285549
12,2.85653,2402,15831,1979868,8374,1414792,327,6,2859180,4277182,4281786,4292303
13,2.85633,2851,21219,2256214,7516,1414809,275,6,4265412,4274818,4275573,4279403
