Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,4.49962,1683,10068,251,454,208068,151,6,220758,222996,223328,223347
2,4.63594,2006,9277,201814,1407,210492,157,10,425080,426494,428578,429075
3,5.29947,2251,11052,250110,2500,277495,169,8,535776,539262,745394,748292
4,5.66541,2740,12097,320310,3469,334883,191,10,648503,860452,980159,985345
5,5.87353,2475,23362,377274,4820,404615,235,8,777764,1001346,1111756,1112900
6,5.6243,2714,798,402872,5297,527353,268,7,906628,1219566,1227144,1227602
7,5.87427,2647,9807,513109,5733,504554,282,9,1022243,1231362,1332319,1471097
8,6.49756,2668,16902,559751,7157,569850,292,8,1156987,1161544,1162016,1163756
9,6.74831,2610,20413,608918,7393,625501,271,7,1265720,1268698,1268992,1271821
10,6.42765,3010,16868,670857,8416,679467,352,30,1379047,1386685,1392532,1394874
11,6.42765,2370,22072,802419,8805,678296,312,16,1381269,2060626,2065824,2068204
12,6.42765,2304,18727,940441,7678,677648,404,6,1380522,2060226,2062385,2065674
13,6.42765,2091,20303,1079369,7778,678613,300,8,2056868,2063748,2065869,2070351
