Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,2.83286,1856,10486,271,468,334818,172,8,347822,350346,350867,351813
2,2.94066,2135,9668,327840,1911,336480,155,19,678049,680735,681867,682640
3,3.33289,2474,11542,403764,2895,455653,171,10,870176,873860,875614,1211504
4,3.69174,2800,11442,517315,3935,525643,208,8,1061283,1064101,1065463,1068952
5,3.69174,2898,12056,603298,5320,653237,217,9,1278089,1280063,1280624,1283592
6,3.999,2613,11448,732393,5990,738318,222,8,1490718,1496721,1498086,1499138
7,3.76807,2717,18515,674520,7975,985189,387,13,1689245,1694346,1696389,1698664
8,3.99933,2430,14111,870154,7481,1007941,283,7,1902041,1909248,1913473,1916993
9,3.76836,2778,18772,1022251,7280,1056680,272,7,2108036,2113143,2114284,2117521
10,3.74906,2780,17755,1136754,8221,1146647,274,6,2312190,2318638,2319732,2327173
11,3.74938,3233,16783,1372318,8484,1148505,359,7,2320209,3473952,3476502,3479407
12,3.74938,2315,17163,1599990,6637,1147930,270,6,2320922,3467380,3468744,3475425
13,3.74938,2457,18335,1833832,7912,1148507,305,7,3467197,3479857,3480911,3482088
