Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,1.0886,1931,11109,264,464,891246,180,6,902619,917539,920487,922184
2,1.25615,2370,10567,780952,1866,790509,171,9,1586157,1589948,1592315,1593943
3,1.39972,2900,12537,935028,3548,1101468,232,9,2056088,2058212,2059056,2059859
4,1.45428,2379,14006,1012030,4801,1548229,182,21,2582942,2585182,2586004,2589578
5,1.48349,2583,16942,1094489,6143,1944093,301,9,3063851,3071277,3072455,3075811
6,1.48453,3012,16880,1139022,6435,2416239,285,15,3581356,3587131,3588102,3590591
7,1.51693,2628,13513,1723433,6704,2299864,239,7,4047059,4054365,4054583,4061190
8,1.59952,2938,19050,2179618,7607,2367318,298,9,4576816,4581724,4583957,4586729
9,1.58029,2393,16062,2484266,8103,2548930,333,8,5060069,5066461,5068604,5069557
10,1.6068,2860,14381,2770530,8613,2777040,332,7,5573169,5581022,5581984,5583086
11,1.60674,2952,15742,3329771,9569,2777727,351,7,5580572,8362678,8364168,8372710
12,1.60674,2646,16498,3886726,9108,2778092,300,6,5585968,8367384,8369518,8374466
13,1.60674,2760,16557,4451842,8344,2778552,297,7,8365993,8382253,8386658,8391281
