Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,3.71376,1799,10308,256,431,252041,152,7,265054,266841,267421,268516
2,3.76894,2032,9309,246129,1627,254461,159,8,513611,515334,516748,518428
3,4.36324,2396,11675,300659,2608,341568,189,9,651703,654682,907519,908804
4,4.54463,2609,4348,382468,3617,423845,198,9,807206,1063975,1069352,1207574
5,4.69953,2505,0,462031,4450,519605,233,7,951802,1224437,1340007,1368364
6,5.09898,2478,11813,536696,5612,543066,219,8,1099598,1105402,1109507,1111874
7,4.89853,2721,17017,606051,6727,628460,279,9,1261319,1263304,1265072,1266365
8,5.33215,2467,16555,636488,7356,741663,266,7,1405851,1411198,1412917,1415453
9,4.99889,3089,15261,747999,6943,785679,317,7,1560210,1564897,1566851,1569345
10,5.62359,2854,18345,831977,7350,842161,272,5,1702668,1707216,1709240,1710000
11,4.99944,2211,18646,1005856,7532,842992,414,5,1710412,2552641,2554967,2563191
12,4.99944,2261,21846,1169169,8023,841864,319,7,1709334,2551068,2552582,2554181
13,4.99875,2283,17932,1342614,7528,841978,291,7,2548064,2554949,2557439,2562219
