Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,1.81448,1872,11139,270,484,532093,165,6,546050,548094,549164,549446
2,1.81448,2215,10000,525605,1943,534424,166,9,1074165,1077133,1078579,1079111
3,2.0865,2643,10714,626108,3420,747488,186,20,1390262,1394096,1395454,1396370
4,2.18132,2725,14209,679320,4619,1042083,215,9,1743097,1745868,1746471,1751776
5,2.33278,2324,16848,720207,5762,1327039,299,9,2072756,2076118,2077079,2078031
6,2.40865,2274,19135,741132,6840,1645219,222,9,2414792,2418592,2419534,2421012
7,2.19956,2641,13594,1160712,6732,1547670,284,8,2731610,2737318,2739692,2742395
8,2.39928,2090,14568,1417803,7236,1639841,241,6,3079911,3095345,3097908,3098453
9,2.333,3323,13678,1672321,7675,1716483,346,7,3413667,3419461,3421044,3422977
10,2.49958,2966,19385,1858231,8608,1867910,373,6,3755904,3764532,3764951,3771467
11,2.22173,2328,19399,2233607,8225,1868092,320,6,3759772,5629020,5629472,5639923
12,2.22111,2615,18790,2613482,8190,1868603,288,7,3766639,5638201,5641558,5644009
13,2.22185,3287,18425,2985788,7877,1868877,291,7,5630358,5637294,5641866,5646225
