Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,3.33289,1871,10454,255,414,285922,152,6,299101,301081,301973,303227
2,3.39955,2073,9637,280001,1735,288664,163,9,582439,584918,585535,588148
3,3.84556,2413,11049,353745,3076,385974,159,9,743495,748892,1033047,1037384
4,4.08299,2467,12728,435088,3539,490697,189,8,923697,1216458,1223442,1376210
5,4.27234,2434,14143,540150,4182,531389,188,8,1080718,1345733,1524609,1533714
6,4.6351,2846,11691,617770,5558,624110,243,10,1262165,1265571,1268656,1271287
7,4.45374,2967,15956,695505,7820,717622,285,9,1440113,1443265,1443739,1447586
8,4.79904,2163,19291,729413,7369,850945,279,7,1609652,1613315,1613761,1614285
9,4.45333,2517,14949,867185,8116,893232,335,7,1786507,1793385,1795559,1798422
10,4.4991,2570,20356,956733,7626,968419,306,7,1955740,1961827,1962293,1964506
11,4.4991,2540,20427,1151690,8313,967868,311,7,1957892,2926404,2927901,2935045
12,4.4991,2556,15413,1350587,7528,967979,317,6,1961101,2930622,2932568,2937636
13,4.4991,2330,15868,1548730,6662,968045,323,6,2923484,2936655,2943373,2948380
