Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,5.44384,1518,9638,252,450,169297,130,5,181327,182920,183657,186068
2,5.66604,1957,8980,163068,1341,171586,125,7,347106,349476,350629,351275
3,6.49919,2111,8059,207168,2321,220633,140,7,432054,600877,604037,606875
4,7.14184,2326,12967,242101,3386,276151,182,8,526231,689494,699173,790755
5,7.28571,2236,12685,276193,4090,353073,240,7,635299,811821,812815,815405
6,7.66539,2519,3748,355531,5338,365075,238,8,721362,972138,976425,1072991
7,7.71318,2171,14549,388052,5451,421476,227,7,805784,1065723,1071463,1177300
8,8.33194,2425,18603,457433,6330,437345,275,7,899003,1158014,1247349,1360934
9,8.5,2647,11252,535497,7210,461768,262,7,1000187,1270397,1358338,1464723
10,8.33194,2636,19382,524570,7128,535806,305,6,1090931,1095153,1097066,1100180
11,7.49875,2047,19063,637622,8384,538115,281,6,1097511,1637551,1644860,1646358
12,7.49875,2638,17428,746606,7659,538125,271,6,1101792,1637706,1638607,1641697
13,7.49875,2679,17413,859977,7436,538227,292,6,1637648,1649368,1649568,1657573
