Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,4.90864,1556,9670,258,413,190539,138,5,202641,204681,205113,205139
2,4.9995,1916,9235,184301,1467,192851,118,14,389988,391017,391598,392945
3,5.88823,2226,11545,218554,2676,256588,159,8,490372,492102,492293,492469
4,6.24922,2536,11049,290807,3248,326336,204,8,602741,796764,799355,802337
5,6.49919,2252,18812,329437,3996,380698,217,7,720333,916762,920910,1017155
6,6.71429,2416,22675,413889,5514,397088,261,9,821252,1106243,1116855,1225783
7,6.998,2596,16138,459523,6348,467494,262,8,935696,1208650,1215523,1340572
8,7.42645,2307,13142,512226,6207,516933,216,6,1051674,1057272,1057668,1062546
9,7.14082,2344,14597,554310,6187,571594,240,6,1148764,1157763,1158617,1159516
10,7.49875,2668,18658,604274,8072,614638,312,7,1249181,1255174,1255917,1258825
11,6.66667,2554,14362,733341,6998,614086,314,14,1250149,1866695,1867702,1872549
12,6.66556,2277,15237,861818,8817,614486,418,6,1259483,1877868,1879516,1882374
13,6.66556,2480,15017,982555,8227,614999,317,7,1867998,1874624,1877714,1879889
