experiment_type,experiment_id,timestamp,scheduler,prediction_mode,batch_size,interval,num_requests,num_frames,mean_excess_latency_s,mean_percent_excess,total_energy_j,requests_per_joule,frames_per_joule,max_temperature_c,mean_temperature_c,min_temperature_c,max_gpu_freq_mhz,avg_gpu_freq_mhz,min_gpu_freq_mhz,num_time_out,percent_time_out,percent_requests_within_constraint,percent_frames_within_constraint,percent_completed_frames_within_constraint,mean_excess_latency_adj_s,mean_percent_excess_adj,percent_requests_within_adj,percent_frames_within_adj,percent_completed_frames_within_adj
fixed_batch_8,0,2025-02-07 22:24:50,Fixed Batch Scheduler,,8.0,,1031,1944,1.4152317385614654,46.332899475297225,2015.1968000000002,0.9646700510838444,0.9646700510838444,49.5,47.35064338235294,45.0,1377,1345.6213235294117,114,0,0.0,68.51851851851852,68.51851851851852,68.51851851851852,1.1571708208739513,39.0376879154216,73.5082304526749,73.5082304526749,73.5082304526749
fixed_batch_16,0,2025-02-07 22:31:05,Fixed Batch Scheduler,,16.0,,1031,1944,7.245896812206433,174.73250000571414,2041.3208,0.9523245929792123,0.9523245929792123,50.0,47.58326324642557,45.5,1377,1304.2884777123634,114,0,0.0,28.600823045267486,28.600823045267486,28.600823045267486,6.160546509375788,152.6323043874098,35.54526748971193,35.54526748971193,35.54526748971193
fixed_batch_32,0,2025-02-07 22:37:43,Fixed Batch Scheduler,,32.0,,1031,1944,10.15161201713507,229.03883822764774,2001.9044000000001,0.9710753420592911,0.9710753420592911,49.5,47.36493808049536,45.5,1377,1016.2291021671826,114,0,0.0,18.878600823045268,18.878600823045268,18.878600823045268,7.826219657860666,183.7745603163001,29.372427983539097,29.372427983539097,29.372427983539097
interval_0.2,0,2025-02-07 21:55:43,Interval Scheduler,,,0.2,1031,1944,19.749148668330392,396.6216521166366,2340.7824,0.8304915484668716,0.8304915484668716,47.5,44.91322662173547,42.0,1377,1346.5054759898906,114,0,0.0,22.7880658436214,22.7880658436214,22.7880658436214,19.52052386032701,392.3357581623527,23.14814814814815,23.14814814814815,23.14814814814815
interval_0.5,0,2025-02-07 22:02:20,Interval Scheduler,,,0.5,1031,1944,125.20778979190976,2298.947195837773,3871.8042,0.5020915055570218,0.5020915055570218,48.5,46.096407927332784,43.5,1377,1358.0928984310488,114,770,39.609053497942384,9.053497942386832,9.053497942386832,14.991482112436117,124.9848766743629,2294.986961225707,9.053497942386832,9.053497942386832,14.991482112436117
interval_1,0,2025-02-07 22:13:36,Interval Scheduler,,,1.0,1031,1944,124.44898393440246,2195.3551476743673,3431.2156,0.5665630571276256,0.5665630571276256,48.5,46.46363636363636,45.0,1377,1266.5929752066115,114,1444,74.2798353909465,1.646090534979424,1.646090534979424,6.4,124.19778393440245,2191.0774303361504,1.646090534979424,1.646090534979424,6.4
transparent,0,2025-02-07 21:49:28,No Scheduler,,,,1031,1944,1.9115821036046425,40.25154404348185,2239.2106000000003,0.8681630928328045,0.8681630928328045,45.0,42.65050784856879,39.0,1377,1351.9039704524469,114,0,0.0,71.86213991769547,71.86213991769547,71.86213991769547,1.830433745295913,38.536949854869164,73.25102880658436,73.25102880658436,73.25102880658436
loud_prof,0,2025-02-07 22:51:05,Our Scheduler,prof,,,1031,1944,2.6796170668101604,59.304865969255715,1693.3232,1.1480383662138451,1.1480383662138451,49.0,47.20252572497662,45.5,1377,957.776426566885,114,0,0.0,57.3045267489712,57.3045267489712,57.3045267489712,2.038707797591088,46.70384607761214,64.45473251028807,64.45473251028807,64.45473251028807
loud_pred,0,2025-02-07 22:44:48,Our Scheduler,pred,,,1031,1944,2.390231406247174,52.38627498613604,1603.2146,1.212563807739775,1.212563807739775,49.0,47.14467483506126,45.5,1032,860.1762488218661,114,0,0.0,60.13374485596707,60.13374485596707,60.13374485596707,1.7966690381858572,40.487477006606575,66.56378600823045,66.56378600823045,66.56378600823045
fixed_batch_8,1,2025-02-15 07:54:55,Fixed Batch Scheduler,,8.0,,126,1710,0.028449466176422297,0.5505113173454477,2263.0734,0.7556096059456135,0.7556096059456135,48.5,46.80901287553648,45.0,1377,1215.2932761087268,114,0,0.0,98.47953216374269,98.47953216374269,98.47953216374269,0.01848553086395263,0.34213539631555573,99.29824561403508,99.29824561403508,99.29824561403508
fixed_batch_16,1,2025-02-15 08:02:23,Fixed Batch Scheduler,,16.0,,126,1710,0.04568085740440324,0.892916865309361,2143.1102,0.7979057726476221,0.7979057726476221,48.5,46.752941176470586,45.0,1377,1219.8419117647059,114,0,0.0,97.60233918128655,97.60233918128655,97.60233918128655,0.020086895658133878,0.41307200418714063,98.88888888888889,98.88888888888889,98.88888888888889
fixed_batch_32,1,2025-02-15 08:09:42,Fixed Batch Scheduler,,32.0,,126,1710,0.3606123070849591,4.821435579907052,2073.6706,0.8246247017245651,0.8246247017245651,48.0,46.60029390154298,45.0,1377,1148.2211609110948,114,0,0.0,92.3391812865497,92.3391812865497,92.3391812865497,0.15893462393103702,2.307378805234452,95.73099415204679,95.73099415204679,95.73099415204679
interval_0.2,1,2025-02-15 07:23:18,Interval Scheduler,,,0.2,126,1710,0.004670200583537143,0.07980231192442082,2308.6762000000003,0.740684206819475,0.740684206819475,48.5,46.39797449362341,44.0,1377,1245.860465116279,114,0,0.0,99.18128654970761,99.18128654970761,99.18128654970761,0.003061160207978187,0.05147886035147361,99.59064327485379,99.59064327485379,99.59064327485379
