Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,2.31776,2028,10588,270,456,411766,199,7,425461,426955,428010,428516
2,2.333,2430,9831,405134,1734,414253,164,9,833664,835834,836476,838096
3,2.66607,2401,12171,478940,3203,572752,175,9,1069123,1072834,1076489,1076850
4,2.94048,3133,12882,637491,4276,647440,199,10,1305756,1309092,1310216,1311012
5,2.99925,2926,14729,741136,5344,803688,272,11,1568607,1571365,1572117,1573920
8,2.99925,2557,19336,1163042,8474,1173061,261,9,2367444,2370844,2372331,2373809
9,3.06173,2690,21309,1271162,8838,1310101,290,8,2614833,2622452,2623042,2623651
6,3.12441,3084,13846,748278,4901,798182,256,9,1568474,1571137,1574143,1575827
10,3.14196,2673,22177,1338027,9702,1437362,300,12,2810864,2815593,2815750,2819560
13,3.19936,2457,25949,1871335,10701,1615321,435,7,3256763,4874796,4876877,4891919
12,3.19957,2313,24553,1601353,8876,1615987,323,7,3252992,3258774,3261038,3261588
7,3.2658,2683,16554,1019631,6393,1050733,251,9,2095954,2099306,2102570,2105269
11,3.2658,2134,24410,1494974,8861,1527211,363,8,3057701,3064301,3067513,3070368
