Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,4.0763,1640,9910,251,442,229831,141,6,242187,244386,245318,245752
2,4.16563,2201,9793,223907,1686,232921,151,10,470924,472600,473437,473902
3,4.9082,2463,11902,276501,2872,306126,177,10,591918,597009,818380,827370
4,5.29947,2803,14964,336579,3970,368821,205,9,715823,731613,952304,962474
6,5.33215,2619,28538,424400,5527,557838,265,8,992277,1223381,1353077,1479561
5,5.66541,2806,15045,419726,5134,425315,215,10,847774,1086364,1206707,1357632
8,5.77649,2720,18226,611819,7048,622585,338,8,1262564,1267957,1268651,1271324
7,5.998,2250,18996,524459,6524,578828,280,8,1117876,1457600,1465586,1599992
12,5.9985,1964,24029,840809,7850,852378,425,7,1727923,1731589,1733416,1735345
13,5.99925,2411,22926,985047,9410,851972,374,6,1731516,2584691,2591231,2597167
9,6.12423,2725,19829,666533,8413,691395,413,9,1389454,1394515,1396216,1398622
11,6.24922,2674,21526,781092,7999,803555,310,6,1618507,1623080,1625392,1627999
10,6.57049,2056,22340,700909,8336,759831,369,6,1493796,1498508,1499505,1499785
