Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,3.64234,1796,10540,270,442,256249,148,6,269390,271397,272482,273604
2,3.76865,2069,9567,250336,1630,258840,155,9,522654,525690,527094,527895
3,4.45374,2482,11138,300666,2863,345322,187,8,659562,665762,667736,917856
4,4.63594,2524,14878,398022,3829,409053,258,8,800341,1073008,1205780,1216259
5,4.79904,2697,19935,479020,6003,463239,212,8,950460,1196650,1351369,1367023
7,4.89902,2642,15946,607692,6237,629487,287,8,1262342,1267412,1268740,1269801
6,5.09898,2841,13894,536884,6046,545314,252,8,1105263,1108761,1111815,1114371
12,5.33215,2693,22232,947632,8087,960006,372,6,1941662,1945218,1947036,1951358
13,5.33215,3012,20693,1111522,8300,959992,406,6,1943710,2902634,2913437,2916133
8,5.33274,2693,17391,635663,8194,741970,351,7,1406809,1411090,1412108,1415198
9,5.39892,2604,19817,684254,7860,806567,306,7,1520669,1526651,1528306,1529592
11,5.44323,2592,22139,886721,9324,907175,418,6,1827818,1834706,1838673,1841421
10,5.74928,2077,20865,793482,8514,856395,340,5,1682082,1687263,1689080,1694025
