Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,1.78533,1995,11316,261,460,538889,162,7,552963,554634,556854,560751
2,1.81448,2213,10674,531948,1865,541625,151,10,1088123,1090825,1091075,1092070
3,2.08299,2535,11882,634266,2941,747665,227,11,1399576,1402875,1403143,1403826
6,2.19879,2975,16264,1091195,6233,1298659,262,24,2416205,2418941,2420071,2423421
13,2.20983,2358,22113,2479948,9537,2134709,362,6,4293999,6429767,6431476,6437200
5,2.23767,3195,14282,979844,5262,1059681,200,9,2062378,2066951,2068483,2069548
4,2.28528,3347,13215,841163,4084,851872,217,11,1713914,1716204,1718245,1720436
10,2.31518,3441,21343,1772395,8779,1902488,304,7,3709302,3713579,3715176,3719311
7,2.33289,3069,15949,1328050,7040,1411231,305,9,2765335,2769234,2769924,2771734
9,2.33289,3007,17775,1685860,8011,1733025,316,8,3447840,3452078,3453161,3456573
12,2.39952,2068,22213,2122526,10184,2134055,326,6,4291919,4295852,4301626,4303601
8,2.39964,2485,18383,1466981,7143,1598912,234,7,3094838,3098562,3101495,3104748
11,2.44963,2564,21398,1982419,8821,2017827,304,7,4033520,4039075,4040703,4044583
