Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,5.09898,1577,10107,255,437,182597,127,5,195179,196986,197643,198816
2,5.29947,2002,9087,176543,1475,185069,136,8,374529,376243,376373,377381
3,6.12423,2371,11917,222539,2679,238394,172,8,465934,475216,654690,657004
4,6.49919,2273,8043,260098,3299,308044,182,8,566845,754374,756338,759004
5,6.74916,2280,14421,324238,4212,347918,192,12,669837,938557,945691,949899
6,6.85616,2270,19152,355249,5632,429331,228,8,942279,959704,1050066,1057214
7,7.28467,2108,23225,378539,6334,500492,258,7,869331,1047029,1224793,1238418
10,7.57035,2413,27111,626623,6784,553895,389,7,1337512,1343877,1344878,1346128
8,7.71318,2789,23497,492179,6172,482566,274,7,967965,1251776,1329644,1338491
9,7.71318,2536,21111,544492,6194,514733,315,7,1048612,1347852,1426586,1436365
13,7.99733,2605,19460,755050,10867,652651,385,6,1331749,1989950,1995502,2000610
12,7.99867,2329,20041,643402,8173,654501,305,5,1328637,1334633,1337345,1339525
11,8.33194,1997,19921,596871,8070,614251,339,112,1240694,1246207,1250379,1264358
