Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,16.276,549,9702,480,490,49948,118,1,59472,64882,70757,87488
2,19.6368,798,11460,39149,345,50415,59,1,101256,104639,106718,130023
3,21.7384,831,14993,54881,491,66663,72,1,132502,182204,186097,197281
4,23.8392,1036,19485,65165,1003,78864,80,6,158348,215770,225479,240365
5,25.129,1274,17157,86930,1083,91110,83,1,184708,254224,263998,285902
6,26.7931,842,21524,96986,1778,103471,99,1,214758,286035,295759,306736
7,28.101,1123,36031,100173,1860,109276,109,7,248271,308390,327303,374792
8,24.9054,2685,51657,105545,6988,157893,173,1,323072,432736,477947,712954
9,27.1708,3180,49384,122294,7625,148420,158,1,340165,399487,449227,545301
10,27.1898,2409,66632,116501,11384,168776,218,7,374675,446954,462318,499722
11,27.9203,5013,61048,124805,10795,186737,1497,1,370476,527608,595380,622380
12,30.2628,2083,52409,144505,5735,185306,149,1,372961,526974,551285,574738
13,32.4093,1431,38009,170916,2882,181921,123,1,369588,533014,540235,613747
14,33.0954,1176,43052,186781,3299,183644,114,6,420166,543842,561144,573571
15,33.6343,1077,34579,222114,5649,186004,119,1,463458,566960,573592,581451
16,32.8994,1481,36413,249970,4888,196432,132,1,500047,593999,622578,646681
17,33.4454,1217,41524,256809,5748,195443,132,1,513089,576111,637554,643666
18,32.5289,1173,47208,296584,6957,198736,130,1,573923,647652,656492,687573
