Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,21.5286,447,7467,379,280,37797,65,1,45947,47928,50573,54820
2,24.7241,800,10546,29561,297,39693,57,1,78647,89029,109759,125095
3,29.4631,724,13360,37701,530,49324,56,1,97773,134608,137357,140393
4,31.7585,701,13531,52580,674,59469,66,1,119800,164670,174195,178798
5,32.7817,1075,16615,64077,674,69427,127,1,144261,193067,207119,246919
6,33.3893,1851,26188,71544,1702,74730,88,6,177413,221554,231391,286354
7,35.9412,1178,22092,83236,3283,83393,84,1,195703,240947,257127,287652
8,34.3763,1682,27538,97202,4037,98980,121,1,238034,289906,313061,330134
9,38.4419,2060,27723,97694,2021,99138,89,1,247457,275647,295682,368821
10,40.6117,949,27098,95015,3018,124903,99,1,264696,314745,332511,370233
11,42.9795,673,38872,76084,1939,138651,94,1,236031,340949,390260,404702
12,40.9264,1285,32024,116976,3740,137864,153,5,264222,400487,418053,429339
13,43.9984,748,33342,124470,2392,140396,100,1,266605,412143,420278,455538
14,42.1186,1090,33646,152573,3129,144299,110,5,338685,434747,441667,476285
15,37.9947,1952,44951,189926,11000,152245,164,6,410106,524433,564682,612732
16,41.7344,1408,31813,197271,5976,147489,107,1,395460,475892,493793,544938
17,44.1093,1017,33275,205662,4531,146045,103,1,410318,467212,474154,481454
18,40.5819,2157,67519,207419,12001,152432,162,1,445900,513582,530731,545315
