Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,16.4821,625,9760,300,377,49324,89,1,59693,62939,64924,68366
2,19.7504,817,10533,39376,380,49764,79,7,99575,103603,105278,113486
3,23.5163,784,13649,46463,506,66468,88,1,126490,131286,137020,179425
4,25.4519,1093,16727,57364,1353,78164,104,2,151659,167228,205252,221215
5,26.9588,1060,17707,72359,1360,91348,127,2,177898,246097,252350,258719
6,28.7579,1437,16089,87873,2215,95607,111,1,195475,268895,275240,300556
7,30.6208,828,18237,96178,1515,114215,143,1,222884,297541,315307,340785
8,30.1184,859,26960,110865,3121,118931,127,2,250025,331258,340212,362805
9,32.2818,755,27675,117533,1622,130475,120,7,267900,352218,364793,367285
10,32.7831,788,19269,141640,1826,144268,121,1,293025,390636,395883,433910
11,33.8433,1048,29284,118798,4691,173220,148,1,296096,425433,500901,511718
12,35.2838,790,26835,138284,1893,181824,142,1,301370,504821,506326,518985
13,31.9386,1884,29457,180688,6076,183046,206,12,352700,546015,558395,571300
14,32.931,1332,44643,181319,5468,181475,209,22,405958,556262,563979,586203
15,34.4113,1439,25547,228968,5209,182603,185,7,452258,556281,566770,611178
16,35.9327,809,31225,238767,4009,182375,146,1,466599,574700,583636,617513
17,34.5026,1745,41324,258893,8454,188798,218,1,524442,602230,627836,674209
18,34.6069,1062,36382,280407,3449,188205,159,1,520915,597491,604419,636303
