Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,20.3117,544,8891,307,356,38968,76,1,48809,50411,53638,57308
2,24.8257,726,9652,29558,340,39641,77,1,79298,84892,85645,88865
3,29.9616,799,11260,35504,463,51340,74,1,98750,101381,102583,137825
4,32.7829,724,13260,47705,527,59269,88,2,118662,156527,161955,177117
5,35.6026,670,19379,53598,1050,67203,95,1,135783,191850,194735,204479
6,36.1943,905,15816,68076,2740,76360,107,1,155811,212564,220007,238993
7,38.6093,672,20496,74379,1624,85354,98,1,174576,233817,236512,269960
8,39.5755,733,18549,87068,1582,95061,122,1,193893,259815,268570,276112
9,40.2439,699,16890,105297,3034,101106,115,2,215872,283001,298345,319273
10,41.0735,885,23566,100049,4272,116928,117,1,237881,318566,329134,338157
11,40.6599,2187,28103,89067,3525,140482,161,5,239376,350385,401016,414405
12,41.1049,1845,22973,110179,3155,143461,144,1,250550,404816,408575,425108
13,40.2613,2326,29269,134099,6005,142342,213,1,288710,434340,442849,479227
14,44.2631,811,30909,143924,2600,142800,164,5,319778,421772,429699,448175
15,42.7734,664,32079,163862,3948,143810,138,1,347685,425396,455166,465217
16,42.6049,968,27953,194037,6059,145395,160,27,381297,462191,474134,490678
17,44.7646,736,26046,200839,2032,147471,136,9,384980,471643,475120,481788
18,44.2563,891,26349,226099,2195,148038,146,7,416506,477059,484005,491357
