Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,19.3373,460,9999,526,286,40158,112,1,49249,56031,64086,77641
2,23.9547,1011,12336,28707,443,40922,65,1,80384,98784,109002,141565
3,27.9108,911,12788,40781,545,51591,68,1,102651,142080,147244,153357
4,30.6223,712,15018,54036,503,61271,81,2,123837,167845,175554,200431
5,33.941,900,18899,57668,766,69980,88,1,142456,184184,190978,209785
6,35.0985,790,22509,72411,798,76066,93,1,170500,212984,217832,236117
7,35.1476,1316,21933,85981,1204,90055,123,1,194850,256444,266397,287968
8,35.7641,1238,22850,98028,1513,95301,95,1,235356,266511,276275,329555
9,35.9139,1290,34585,86018,5027,121986,117,1,263030,311663,316380,355858
10,38.7567,1024,30784,109275,2799,115258,113,10,279937,306050,329889,350441
11,41.3574,1026,33898,83734,2022,148464,116,4,248743,336785,412970,422132
12,36.0412,4007,46446,114075,3470,153188,162,1,297428,448215,467391,503186
13,41.542,1210,32344,133567,2172,149563,316,3,288021,433454,448853,462057
14,41.1097,846,31569,154769,4682,146604,104,1,338747,440754,457923,501305
15,42.1144,900,35031,167366,2675,148412,107,1,362148,446937,466255,486859
16,40.9361,3919,37544,182806,3982,146549,117,1,387407,468624,477728,489417
17,40.116,1194,38304,218456,6945,151304,192,7,423686,505699,522034,563977
18,35.5723,3453,51590,259732,20124,165031,178,10,519728,592319,598825,616505
