Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,20.6449,542,8590,287,291,38668,69,1,48539,49075,49507,50860
2,25.6085,573,9036,29677,288,38428,66,2,77929,78783,78888,79844
3,30.1211,687,12858,33671,490,51180,80,1,97949,100540,104548,136640
4,32.9559,793,11924,46757,760,58620,90,1,117306,122246,133592,173351
5,35.7882,630,14382,56155,651,66262,98,2,134174,189217,191944,196598
6,36.5984,963,15160,67386,1807,76421,105,1,155388,214127,216871,229114
7,38.4349,769,19580,76373,2381,84099,121,1,174837,237644,245293,255807
8,38.868,1336,21169,82592,2667,93892,150,2,195010,257473,269811,290971
9,41.4444,651,19984,91343,2553,105338,111,1,210162,282762,287048,304366
10,41.6068,656,19522,108040,2282,108254,118,1,228200,303774,306513,321629
11,42.927,847,20835,111679,3914,121688,142,1,243609,330883,346719,400268
12,42.4116,1940,24865,104241,2724,144158,182,2,249402,401409,408838,424322
13,42.5909,823,25153,127211,2308,142131,166,1,260015,412152,416784,423596
14,44.1037,643,22139,148348,1583,142641,135,1,324177,414209,433188,436429
15,44.1744,679,20825,170677,3944,144427,138,1,345597,433959,452748,473831
16,45.2109,992,30552,183175,4561,144253,161,2,370609,451847,458759,484216
17,42.2351,1314,26327,220503,7882,145088,200,1,416955,484095,492876,502655
18,44.5915,1172,26257,219150,4229,152063,195,2,411924,487591,501035,515708
