Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,12.0775,497,8129,297,410,73026,82,2,81996,83618,84943,88215
2,13.7326,574,8933,63744,273,72393,74,1,145464,148802,150086,151920
3,15.9041,664,9421,79650,470,96624,75,1,184180,191070,256076,264368
4,17.4217,726,11293,98845,898,114991,83,1,220980,296205,327810,335380
5,18.8681,760,13462,120955,1018,129947,103,1,255020,338642,366828,370167
6,19.8639,595,14967,138182,1084,145547,89,1,287313,398686,405336,429954
7,20.5302,621,15223,164674,1374,156719,119,1,323601,437799,442431,478359
8,21.3087,722,17498,179847,1543,175101,113,1,354599,469618,496510,534235
9,21.4213,748,17335,190316,7203,205116,147,1,413689,539277,555280,574101
10,22.6402,749,31072,177221,3797,236669,143,6,449319,552234,567062,572640
11,22.6452,777,24935,188330,2247,257058,149,1,429497,603652,732285,742579
12,23.9714,984,22483,215422,2584,268646,150,1,457817,734955,744162,769277
13,23.9679,609,26964,248734,1482,264811,144,1,473523,757733,766421,773530
14,22.4095,3335,24283,293937,3984,267887,470,1,588297,790874,825561,864909
15,23.5698,1266,20839,346588,5885,263934,157,2,652204,813540,826257,840365
16,24.0722,1143,26827,369108,9661,269586,169,1,692198,838019,857337,911851
17,24.9486,1006,24715,407093,6633,267390,152,1,730408,848492,878775,885101
18,25.0206,1305,40719,431232,6800,275202,156,1,766217,899753,940636,949859
