(114750000, 10) 2
(114750000, 17) 2
(204000000, 18) 4
(306000000, 12) 2
(306000000, 13) 4
(306000000, 18) 2
(408000000, 13) 8
(408000000, 18) 4
(510000000, 14) 2
(510000000, 15) 6
(599250000, 12) 4
(803250000, 14) 2
(803250000, 15) 2
(905250000, 17) 2
(956250000, 14) 2
(1109250000, 12) 2
(1109250000, 17) 2
