Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,5.39946,1443,9527,252,428,171157,115,5,183014,185048,185371,185699
2,5.55494,1859,9323,164346,1470,172949,123,6,350007,352305,353243,353541
3,6.62417,1950,11845,201311,2432,223895,160,7,434668,438976,606439,608653
4,7.14184,2011,12823,252499,3341,268608,185,7,525453,697616,706071,793280
