Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,18.202,489,8859,264,371,44816,66,2,54903,55472,55603,55982
2,21.9782,629,9154,35753,305,44753,67,3,90199,91986,92807,99193
3,25.9671,581,10719,43303,367,60593,74,2,115128,116383,116939,159602
4,27.9601,756,13337,57034,850,70048,100,3,139555,143002,184736,207836
5,29.2771,937,12169,73221,1258,80723,113,8,162460,223690,232815,250492
6,30.6179,928,11857,85843,1557,89940,107,3,183344,253231,254119,273482
7,33.1232,637,15211,97637,734,99155,104,3,203240,275568,277448,293104
8,33.9514,621,13289,114990,1295,106241,110,2,225706,299413,311960,334158
9,34.1147,792,22016,117590,4003,117375,136,1,250030,332697,341068,382329
10,35.4395,688,21274,139502,1511,119674,131,1,271130,344466,358032,363997
11,36.9788,771,17909,109212,2302,167168,151,1,270972,366803,462847,474259
12,36.1084,1911,28331,119041,1698,165713,145,1,286509,461437,463998,479660
13,38.4354,606,23548,150982,1663,167181,159,1,297188,482189,484244,487237
14,38.6038,727,23741,177345,2831,165790,148,1,380079,485814,490670,514001
15,36.9342,1065,22918,207734,6237,165545,175,1,407715,513518,532461,553874
16,39.4524,685,24053,217808,1611,168337,138,1,423173,523563,525448,527291
17,38.0633,3363,23693,226023,2358,173619,145,1,444693,526013,549754,566149
18,38.9272,949,27055,252983,5009,179300,178,2,479147,500427,569361,602550
