Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,10.2586,566,9562,271,367,86399,77,2,96632,97617,98842,103494
2,11.5259,644,9822,75634,269,85592,73,2,172094,173287,173865,177439
3,13.4055,654,13716,90424,416,116653,95,1,220477,223287,226122,305703
4,14.5729,820,13096,120818,804,134804,104,1,268760,273566,356222,394394
5,15.7374,910,11956,144038,1178,156914,98,1,308122,417455,441829,447658
6,16.255,968,14058,165973,2692,179039,116,1,350204,464410,484169,508188
7,16.7472,1232,19527,191174,1674,190556,129,1,388864,522621,525198,570292
8,17.9794,630,20372,211123,1332,213395,116,1,429860,569426,599623,605121
9,17.967,1396,25892,240484,1841,219057,131,1,470187,606930,636008,643423
10,18.648,942,18660,261810,2344,254933,142,5,514467,663964,690448,728908
11,19.7077,872,27941,208322,5185,327188,164,1,517154,672536,888864,911882
12,19.9783,876,23955,264702,2242,325311,166,1,520174,887324,894092,903070
13,18.8526,2458,26853,298110,2771,320149,147,1,559054,898777,924653,943551
14,19.9804,704,25341,358354,2047,316302,183,1,721791,927573,932628,939274
15,19.6465,886,26548,403155,3772,318779,166,1,770380,968633,986675,1005597
16,20.0855,1154,27935,443544,5807,323766,204,1,816586,1006705,1028275,1051981
17,19.5319,1478,19343,482620,8041,340847,191,1,871765,956568,1091746,1138705
18,18.1955,1290,18521,590482,5840,339794,195,1,940904,1002783,1041902,1131624
