Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,19.7586,510,8658,266,309,40987,66,1,50740,51156,51421,60605
2,24.3105,576,8891,32013,255,40690,68,1,82370,83328,83893,84624
3,27.9654,713,10727,39744,367,54439,74,1,104820,107839,145255,148031
4,30.9645,733,10263,51628,687,65059,89,1,127272,130583,167955,188849
5,33.2768,585,11815,64026,533,74054,94,1,147477,192328,210005,212768
6,33.7154,1038,13297,75189,2103,83909,137,1,168514,232364,234992,261932
7,35.6066,1007,18142,80828,996,94003,113,1,186854,250390,252544,270361
8,35.7771,770,16123,106746,1889,99189,138,1,208181,287492,296611,396183
9,37.6172,655,19877,94572,3180,119431,122,1,227500,305288,310685,334163
10,37.2743,1574,28813,110712,3949,115626,121,1,289233,318856,327885,358716
11,39.3988,1888,24873,92582,4465,151234,191,2,251429,328540,424121,450031
12,40.116,2160,29255,109136,1886,150804,132,1,264111,422086,425751,442770
13,41.7672,639,22519,139942,1806,153880,147,1,271653,444800,448445,452108
14,40.7825,620,23904,162501,1811,151348,136,2,350445,447785,448924,450839
15,40.4314,1041,23820,190562,7335,154558,201,3,379057,474481,486370,534668
16,41.7474,672,18791,208912,2216,155071,135,1,395961,485794,490064,501517
17,43.0896,647,22379,218501,2009,158563,137,1,410757,501212,504182,511011
18,41.2574,2817,27426,223660,4219,158800,151,1,426343,499736,518600,559986
