Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,3.24836,517,10377,311,315,295346,83,1,306807,307418,308282,313343
2,3.39829,553,10756,283342,262,293795,83,1,588579,589747,590078,592525
3,3.89615,782,12106,343966,420,403916,95,1,758503,762274,801634,1051724
4,4.3041,645,14903,446181,514,467985,99,1,925487,1182755,1225978,1349502
5,4.69548,602,14050,528841,560,529379,102,1,1054273,1387497,1517123,1520237
6,5.09788,623,14085,577776,655,590871,112,1,1183452,1188523,1191357,1194542
7,5.2313,643,15849,642028,789,674760,115,1,1333816,1337720,1339497,1341872
8,5.37715,1399,24758,670541,1024,760920,128,1,1463050,1468116,1470113,1889629
9,5.67614,669,23781,702387,1111,873470,136,1,1600762,1605381,1607286,1613611
10,5.49588,2003,33907,719420,4962,976913,204,2,1723694,1789499,1902749,2191236
11,5.85027,799,37343,757516,4171,1104906,208,1,1893824,1907754,1920662,2368465
12,5.54047,3566,24006,923908,7759,1130443,248,9,1787382,3074777,3083751,3107602
13,5.67324,3652,27651,1069849,6798,1120461,205,1,2045014,3106667,3198092,3241831
14,5.68454,3458,36870,1204730,5699,1113071,215,2,2215313,3186003,3197700,3377618
15,5.74427,3452,29640,1338283,7838,1138404,246,1,2640797,3092621,3476873,3497415
16,6.02767,1109,24651,1568495,7124,1121912,174,1,2776426,3466174,3478319,3519898
17,5.66368,6152,33128,1589401,12478,1170432,296,1,2922758,3219136,3633129,3772291
18,5.86961,6154,29673,1706864,8989,1180067,246,2,3059207,3262119,3763001,3889530
