Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,20.1983,524,8643,276,321,39709,71,1,49353,50588,52663,54650
2,24.9754,622,8793,30721,258,39394,65,2,79651,80893,82088,83592
3,29.1246,557,10739,37691,378,53073,72,1,101308,103478,104635,142022
4,31.2967,749,9901,52455,616,61258,84,1,123082,162188,164536,184077
5,33.2874,804,10261,63802,1078,70875,88,1,143282,188770,204673,220747
6,34.7697,1009,13066,74993,1623,79936,114,1,163024,225051,230887,251681
7,36.0178,1012,17052,83336,1602,86549,103,1,181163,244388,254259,272412
8,37.6076,603,19198,88424,915,98834,115,1,199938,263631,276135,281649
9,38.7809,672,15168,102702,1135,108074,114,1,217932,280922,297741,316681
10,40.106,704,16108,109762,3130,118945,120,1,237198,317911,321079,362963
11,40.0576,1530,29959,85465,3056,144083,147,1,240444,322432,408882,421711
12,41.7298,1968,22277,110156,2902,145241,132,2,256760,408784,415646,430160
13,42.7729,654,26256,129644,2600,146709,138,2,274395,426459,429069,446663
14,42.1062,736,17588,162896,2316,146951,137,2,337907,431940,438386,454403
15,40.7242,2964,19971,178404,3290,147008,172,3,362347,452540,461062,476968
16,43.6104,762,24171,192284,2585,149367,144,1,378243,464711,467849,481673
17,43.4142,719,23559,209095,2349,151391,164,1,394846,481886,485288,499287
18,44.6079,715,22917,230189,1720,150837,131,1,415682,468404,469967,472643
