Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,21.3092,514,8667,268,320,37114,68,2,46755,47347,47814,53920
2,26.6284,596,8982,28270,282,36970,68,3,74704,76732,77716,81526
3,30.9544,724,12980,31950,378,49612,75,2,94694,97087,98952,132037
4,34.4573,575,12376,45771,427,57249,75,2,114861,117938,152834,169878
5,35.9399,786,13073,54811,1002,67609,86,2,133569,180189,190815,192270
6,37.774,872,12263,68142,1390,74942,99,2,152360,210770,215153,248905
7,39.0955,887,14050,78222,1485,81566,103,2,169681,230114,244355,259788
8,41.1012,612,16842,85282,1058,91735,105,1,187161,246069,249284,262258
9,40.1067,1302,18235,97121,3905,98262,152,1,209049,269124,286681,313283
10,41.5984,804,23888,92201,3160,116635,148,2,242293,302416,312960,324361
11,44.6499,1386,26150,77601,1395,136096,125,1,221838,298932,380100,382181
12,45.771,637,22181,102815,1399,138322,132,1,227190,382796,384076,399150
13,44.0382,2632,19943,126074,2110,137977,149,1,255056,400916,405115,414431
14,46.0894,787,20977,149495,2224,137232,168,1,314272,409311,417550,433366
15,44.7548,2465,22527,160039,2070,136661,156,1,335267,418667,423092,428426
16,46.6052,640,19742,187503,1909,138771,143,2,358307,438612,441242,446575
17,47.0885,664,23390,193928,1615,141008,135,1,368453,449670,451994,454675
18,45.1762,2400,26720,200456,3927,145581,160,1,392800,464836,480057,505565
