Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,14.1557,524,8728,281,305,60736,74,2,70751,71175,71594,72893
2,16.3193,658,9234,51405,286,60558,73,1,122038,123616,125172,127734
3,19.0917,627,9328,64482,480,82298,82,1,155883,158337,161292,217088
4,21.0888,584,9540,85213,449,94055,88,1,189150,190375,192643,257460
5,22.2008,849,10481,102038,1120,108244,102,1,218584,282061,313007,316135
6,23.1972,745,20212,117156,1008,118353,124,1,246732,341615,346436,368962
7,23.5106,1437,18150,129776,3960,138990,159,2,276672,395763,403018,430774
8,25.6202,827,15154,148334,2233,152105,138,3,305185,403680,421459,453149
9,25.5375,702,18167,161381,1262,168097,148,1,334361,433179,448423,461354
10,25.8233,809,24636,170341,4769,180627,168,1,407014,465493,480032,507505
11,27.4445,705,26714,152424,1954,216289,147,1,363732,479723,615894,624925
12,27.7984,689,25014,179071,1862,223839,137,1,384459,616696,619993,622232
13,26.6158,2742,24583,206543,2644,222891,159,1,393863,629721,650982,656128
14,27.4324,2959,29172,228477,5534,224073,205,1,486067,654446,666530,700635
15,28.0747,3067,22408,262575,2458,222995,153,1,536498,675618,680508,688875
16,27.9614,705,16842,306390,2177,232679,154,1,573911,630808,735865,742322
17,28.7952,612,26770,323171,3732,229392,147,1,590772,701946,712338,749432
18,29.6306,630,25770,350640,1813,230489,143,2,620382,728276,729600,731318
