Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,17.4253,548,8821,275,314,47202,73,2,56893,57896,59697,64727
2,19.8562,919,10125,39550,410,49498,88,3,94955,99324,120521,230556
3,24.6841,615,12799,44251,392,63416,81,2,120443,123161,127933,167466
4,26.4583,781,12706,60260,868,74038,99,2,145666,191864,214907,220808
5,28.2858,928,14947,72563,1228,84075,92,4,169334,222386,241199,254157
6,30.29,630,14276,87961,1358,95716,97,3,191250,265636,271537,282302
7,30.6167,1293,17462,100692,2249,103738,138,2,213729,291367,309659,323192
8,32.1249,676,22144,109205,1999,114903,136,2,236300,310883,329048,343532
9,32.9367,1364,19557,127598,1184,118511,118,2,256963,331947,336218,351934
10,32.7978,1629,26310,115480,8554,147281,165,2,292472,389071,406613,456262
11,35.7846,662,22284,127126,2958,159890,133,2,282062,394369,422708,498833
12,35.7854,616,27156,130555,1475,173686,127,1,281446,480786,481482,482776
13,36.441,787,20984,164016,3183,174890,150,1,314210,503807,506112,530320
14,36.2838,619,24938,181963,1736,173743,139,3,394341,505006,510950,527372
15,35.5321,2305,24453,201440,3810,175127,163,3,419971,496061,547528,570691
16,35.762,2719,22818,221940,2728,176074,151,2,442722,517800,550858,568261
17,37.6091,688,24581,244426,2188,181305,145,2,464027,515142,570887,590075
18,37.7807,977,25458,267796,3413,183471,181,2,489126,588082,591070,617250
