Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,15.4855,617,9105,270,464,53784,76,3,63529,64717,68100,76063
2,18.5376,715,9576,43633,300,53076,69,3,107056,107918,108489,109282
3,21.9789,629,9955,54145,410,72147,84,2,136671,137900,139467,190213
4,23.418,789,13130,70436,914,83224,100,3,166166,172657,220954,247943
5,24.8236,890,14988,85241,1410,95080,102,2,192354,271168,275207,288499
6,25.7102,1227,14969,102275,2761,108170,152,3,220205,302423,314117,352150
7,26.9495,1706,21192,109201,3423,120540,143,2,246566,333871,346469,350864
8,29.2929,716,18808,128300,1488,128592,132,3,263602,352719,369252,384592
9,29.963,633,20798,139293,1205,143049,121,1,292478,376221,378535,397200
10,30.4593,697,23242,141400,1223,157361,141,1,316843,393305,396898,447057
11,30.4898,2124,27158,116585,1600,194757,163,1,313494,419784,536250,547995
12,30.1214,2518,23964,161819,4665,183309,156,1,341039,500922,549827,564221
13,31.365,2788,29403,170195,4131,195854,178,1,351745,563157,574922,595379
14,33.2811,671,28915,199791,2058,195500,140,1,438461,567938,585558,588661
15,33.9576,627,22857,235624,1711,194352,140,1,468771,587468,589146,591111
16,33.2837,779,24667,261931,3097,195365,158,1,496374,594823,604311,618949
17,31.8246,910,21303,298660,6401,194971,144,1,520408,636337,655386,664876
18,31.4439,1217,23067,340557,3081,205398,181,1,570918,588216,592518,597511
