Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,28.9636,380,6311,266,254,27143,42,1,34298,35708,36395,37240
2,36.9543,404,6350,20305,157,26572,43,0,53827,54427,54868,56156
3,44.7792,424,6837,25153,238,33750,47,1,65502,66780,92046,94472
4,50.0676,500,9790,29875,306,38641,54,1,77182,103244,106902,117011
5,52.883,517,8306,38405,367,45335,57,1,89867,125367,128471,130446
6,54.5173,637,9652,43335,423,52546,64,1,102049,138680,141790,149573
7,60.493,393,13107,45425,510,58532,67,0,111691,150124,154343,162711
8,57.7784,820,16477,53394,576,61396,71,1,128517,167388,176510,182521
9,63.4946,400,19026,55800,661,67342,72,1,137409,182124,188609,201139
10,61.4896,1011,19229,61443,685,72854,81,1,173279,194714,203668,208412
11,66.4894,395,19325,69315,753,76913,81,1,180691,205400,210246,233648
12,69.8328,403,22744,62473,923,89596,87,1,198139,224538,230697,236244
13,70.175,418,21423,80687,889,84730,88,0,205015,218505,235057,274743
14,66.6638,1999,19327,97920,878,79351,86,0,220268,234722,242474,258745
15,69.1481,1912,18625,96606,977,89869,96,0,229470,251167,256840,280346
16,70.3583,2457,18341,104536,1055,92323,92,1,242117,254403,263218,274616
17,73.812,429,21900,108677,1214,99017,97,0,252813,263293,267306,269994
18,72.471,423,25567,113280,1339,100293,99,1,259423,274972,282419,300258
19,72.3158,1935,22238,119101,1221,102351,101,1,270198,288292,299935,321629
20,75.7971,451,24008,141002,1066,98345,97,1,285578,297449,298700,311275
21,77.4761,405,29705,118819,1756,121318,120,0,289159,299921,304008,306145
22,75.1108,2416,20339,118349,1746,130074,116,1,297888,310416,316314,339382
23,75.8627,2370,26046,118926,1795,141192,128,1,315747,333829,354951,397619
24,84.4297,426,34743,113651,2058,152424,130,1,325356,346227,350339,366050
25,76.406,447,31715,168605,1406,113948,107,0,335989,344476,345099,349124
26,81.7794,438,29065,165200,1824,126668,119,0,340885,367992,383445,427821
27,85.1266,426,31551,132494,2534,166768,132,0,352665,367910,431035,434294
28,86.4504,429,32095,126329,2520,187903,151,0,368409,377139,387940,388841
29,82.0947,459,26825,194457,2183,130250,118,1,372197,385287,387878,401830
30,83.7772,458,33917,182171,2056,143218,125,1,380754,391489,395273,415038
31,84.4112,408,28656,192391,1897,146741,131,0,385993,404959,411097,416411
32,87.7778,398,32710,143075,2727,203415,168,6,403443,421720,467736,587019
33,80.7856,443,23914,226252,1961,144024,122,1,413956,428759,459368,499418
34,81.0986,3633,35020,150056,3320,193723,163,1,421473,481148,498380,500222
35,78.8006,438,32783,206949,3097,175063,148,1,439231,454831,459108,461803
36,82.1275,406,35448,196676,2464,184829,156,0,449425,460085,461901,464793
37,79.8089,387,33738,171695,3295,221824,171,0,443400,464946,580612,582592
38,79.473,380,30593,203732,3285,207115,167,2,464606,476378,479429,481194
39,83.4582,419,33710,209732,2788,195759,159,0,466110,488036,500650,717930
40,82.7947,448,39824,248342,3053,177335,149,1,485473,499205,532999,567847
41,85.1028,412,34291,155389,3641,282856,211,2,496199,512270,514789,517814
42,85.1622,6411,27326,192212,3293,230506,185,1,495903,517431,531283,552478
43,90.1051,391,33451,229738,3431,229485,173,1,510219,555371,559779,581040
44,91.1072,393,46877,169892,4048,285834,209,0,530035,569090,570385,572511
45,94.4349,425,42313,212905,3468,243776,198,1,518540,552719,557253,561014
46,96.4178,378,37708,213621,4193,259752,200,0,532170,557119,565002,575477
47,97.0841,442,45033,213951,3866,257407,207,0,534732,555326,557779,616460
48,98.7164,401,42234,219567,3936,267132,214,0,544326,570918,595194,596770
49,84.4591,432,37934,300753,3004,207277,167,1,568787,634419,732810,734786
50,85.1195,398,30934,280152,3181,232634,176,0,568972,584945,610296,612832
51,89.4389,422,34595,279876,3940,254364,192,0,608231,669648,734380,738011
52,88.1121,414,33933,281853,4058,264648,200,1,592444,634207,759056,762600
53,91.4298,431,30792,352101,3028,213159,168,1,619449,636802,641063,651654
54,84.4664,395,27633,320793,4453,247521,194,0,623592,648091,675125,678975
55,85.4448,425,45873,328564,3951,235304,188,1,633412,655094,657821,659880
56,89.1174,404,38564,267290,4736,308798,221,0,646949,801770,809464,814789
57,87.1177,435,31157,333100,3960,259304,211,0,640301,679327,702459,759274
58,90.0819,453,58052,290638,4762,277404,233,1,661819,677748,694925,695674
59,93.7485,389,38209,311521,5130,319431,231,1,698957,708595,710106,711613
60,92.1078,395,44748,352244,3699,257206,199,1,677344,693447,699377,700781
61,92.7653,417,37259,328136,4014,285696,232,0,677066,727717,851160,1035783
62,96.4275,391,60639,339532,4351,268944,224,1,690746,729889,771379,774200
63,96.0719,392,36691,366213,4120,269224,201,1,705298,739738,745549,780886
64,88.7852,404,43305,415739,3911,243236,202,1,731013,742880,771339,772824
65,97.0687,835,42845,358817,4162,301152,211,0,732768,753365,759962,952636
66,90.1255,435,50922,425743,4354,245508,202,0,753486,795882,806748,808759
67,92.0836,498,28402,456664,4209,249775,200,1,758191,774024,795417,800735
68,95.0797,421,36194,447539,4042,256104,193,1,765891,784748,810784,812549
69,95.4223,401,44063,451389,4552,259109,199,1,787270,800091,817695,821088
70,73.1387,487,64517,123807,15080,551011,325,0,763890,862912,865161,867759
71,87.4556,413,89557,241040,10574,430615,289,2,887423,1046503,1048325,1049305
72,98.7495,399,54287,455718,3996,266830,202,0,803838,824733,825576,826978
73,75.8003,426,52124,390592,5492,356949,259,0,816842,913466,916586,919261
74,76.1386,382,49617,262500,13843,507094,327,0,824518,969060,975304,978550
75,76.4726,384,71777,274564,11893,495243,312,0,822663,985690,986756,987554
76,78.4571,393,61589,201374,11069,515707,318,0,820933,832150,834670,858200
77,77.8031,807,74299,194509,13699,528575,327,0,821536,829912,831221,837384
78,79.8029,353,64706,222276,13205,518878,357,0,841454,857690,860211,1385287
79,93.3829,398,56945,308384,11430,473547,298,0,860395,1060207,1072487,1076825
80,80.7697,394,51425,250691,13404,516989,318,0,842726,850603,853195,858061
81,94.7202,872,70951,289532,12756,468817,316,0,870830,1028678,1033205,1037779
82,96.7373,390,75390,307034,12735,461575,291,0,898569,1028873,1031689,1035147
83,85.4485,464,83929,279424,13324,506843,353,0,907603,929186,930978,976529
84,85.4324,474,90292,272432,12102,507919,317,0,887607,937998,941642,1452841
85,89.4287,446,97358,293897,11890,488758,319,0,926442,967318,969433,975548
86,88.1016,453,66782,358030,13203,498817,322,0,934376,1085685,1088618,1090941
87,89.9908,434,96390,391755,11771,447969,298,0,955176,1011498,1319797,1322831
88,91.7439,472,55483,461052,7513,383305,270,1,963573,1001119,1022509,1513644
89,91.7384,522,73933,449339,9060,440896,339,1,972327,1209842,1215071,1219825
90,76.7751,383,57922,326637,13826,538652,388,0,811366,1434845,1446133,1451832
91,93.0253,3818,80682,382014,11946,485800,307,0,968927,979117,980961,1085220
92,94.7786,432,70620,414925,9945,439092,321,0,985234,1043804,1046880,1520955
93,77.1267,451,66156,346630,15109,540266,349,0,860420,1424294,1487612,1493561
94,79.7695,3409,72286,363330,13677,532196,371,0,860997,1483490,1502439,1610600
95,97.0995,4136,74864,413620,12358,494846,326,0,1013790,1214896,1370738,1522009
96,99.0657,11143,74177,456314,7367,477970,321,1,1045693,1141945,1180003,1202610
97,81.7422,523,59542,403857,13877,529327,381,1,864852,1489755,1494661,1500319
98,98.045,513,94923,415505,12510,506596,338,0,1054705,1123505,1124329,1127462
99,82.102,4256,66223,427962,13557,526270,413,0,886651,1513399,1551960,1671822
100,81.4236,451,70261,434396,15905,526921,329,0,885003,1506613,1515363,1519667
101,103.571,454,89777,438945,12406,517186,359,0,1081799,1096798,1101679,1107705
102,104.077,441,97410,435605,8590,519610,431,0,1108454,1156181,1160041,1164271
103,103.073,492,108369,445392,12850,521997,337,1,1105372,1130259,1133169,1135387
104,83.1338,455,84216,448095,13635,524701,340,0,892682,1521442,1525927,1540238
105,105.073,432,101478,479122,12340,517777,374,0,1126885,1137968,1139869,1141890
