Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,27.4658,381,6491,273,245,28817,42,1,36277,37642,38086,38902
2,34.7926,413,6652,21506,162,28377,41,1,57192,57744,58254,61796
3,42.4452,442,9195,24461,243,35920,49,1,69457,70940,78404,99234
4,47.1009,443,7649,33861,307,42266,52,1,82850,110444,112293,124660
5,50.1539,481,10444,38792,363,48308,58,1,95400,131782,136714,137241
6,51.4923,684,16684,44193,401,51352,59,0,107741,148353,148774,154610
7,55.8531,365,13013,55395,470,57630,68,1,119664,163589,166805,174599
8,56.764,699,13311,61360,510,61947,72,0,131681,175122,184915,186827
9,58.3433,988,19359,57261,603,72707,77,1,150448,188204,191717,197773
10,59.3466,1040,20485,73314,586,69668,76,1,184907,198602,207732,220431
11,63.6459,412,25066,60429,874,90115,83,1,193459,218461,220016,225441
12,64.5038,406,22437,75817,818,87469,88,1,205755,222650,227019,247985
13,64.5074,418,25233,84719,932,86800,86,1,218644,234359,242441,243328
14,63.1911,1988,20973,94755,994,89626,92,1,227614,245000,247451,258192
15,63.0137,1651,21409,89514,1367,105743,98,1,242081,258735,269653,321964
16,69.1309,427,19364,107925,1087,105112,97,1,252870,273385,275623,287388
17,67.46,449,27804,113076,1040,104254,94,1,265497,281863,294998,296050
18,71.1426,435,19156,135873,1272,102700,94,1,279230,300817,307397,310925
19,70.1454,422,22647,141615,1161,105260,98,1,289807,305997,320068,322111
20,69.7422,2238,28127,105633,1580,134642,110,1,299915,333707,345283,401661
21,73.4837,446,28001,118276,1764,134651,111,0,304945,321918,335539,357274
22,73.482,453,26993,164870,1196,107859,102,1,325149,330061,330894,332232
23,73.4934,452,25063,166665,1367,118637,108,1,335538,344098,348694,358661
24,77.4593,429,25178,141835,1971,148209,132,0,334846,363142,381077,464020
25,77.1328,418,22077,175902,1645,133445,119,1,350706,364149,368002,378512
26,73.42,429,21683,199909,1634,124396,109,1,365896,375028,377751,384840
27,75.4665,446,31920,192998,1544,129444,111,0,371870,382153,383031,394376
28,75.0384,3158,22862,163907,1998,153339,131,1,375188,400291,407661,429845
29,77.1357,428,24661,185479,2273,170461,138,0,401052,412170,413017,421905
30,76.7872,447,22974,187823,2586,166151,136,1,404477,430377,435843,447293
31,79.1189,441,22226,203727,1979,159892,131,0,397420,424838,429538,515036
32,78.8087,441,40755,207609,1982,149276,129,1,421130,441188,461859,463698
33,73.8236,420,30105,185140,3219,203222,157,0,441947,488465,500145,638865
34,76.8093,406,36164,188423,2531,198999,153,1,447262,471420,473298,481665
35,75.839,411,36714,217337,2202,181120,136,1,469398,508888,518949,540972
36,76.1465,421,38389,179886,3268,230242,180,0,465727,536967,728265,734684
37,78.4545,450,51318,214223,2511,197142,155,1,481956,525621,534195,538118
38,81.1068,479,29104,227923,3087,213649,177,1,492049,530917,537524,539992
39,82.1319,403,33593,266890,2142,166423,137,0,493551,514280,516623,518131
40,82.4376,398,33933,222487,2818,221564,230,0,497801,505604,509898,538381
41,86.7798,416,28882,232165,3694,230684,172,1,517157,531548,533817,544291
