Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,17.2048,424,5497,267,263,51344,52,1,57237,60474,60823,61162
2,19.3174,471,5428,45716,192,51113,52,1,103168,103718,104020,105715
3,23.7551,512,5785,54544,288,64579,57,1,124353,125934,135226,176636
4,25.7785,590,7115,69456,570,75573,62,1,147107,199812,200820,221259
5,27.7901,596,8552,82029,413,83656,75,1,169507,240711,242667,246027
6,30.1219,398,8335,95728,512,97434,76,1,192911,265992,267339,268628
7,30.5867,778,11762,107199,535,104798,81,1,213843,286599,289751,307242
8,31.6178,863,9806,125663,564,110719,83,1,235656,307780,309899,312310
9,32.6077,784,16566,116751,641,131715,84,0,296181,326451,333919,356059
10,34.7848,407,17385,140819,710,129159,85,0,319537,353149,365659,380495
11,35.6883,415,17006,160886,705,135711,89,1,345874,376344,392407,398124
12,35.4249,1613,21330,154804,779,152251,89,3,363872,390696,396031,432957
13,37.1168,425,22183,188647,713,143992,86,1,390887,413433,415579,434188
14,38.6171,428,25087,169480,1035,177474,99,1,404362,441864,446397,485917
15,38.2765,437,23095,203557,949,170482,95,1,441347,461701,471157,485131
16,38.2568,1708,20972,189637,1079,191919,103,1,440246,472686,477067,479621
17,37.9037,3127,20768,207133,1273,196147,101,1,471236,491699,506659,537993
18,40.7834,417,25979,160507,1640,246117,127,1,477182,506255,512449,513704
19,37.9267,1738,24643,228202,1143,207860,110,1,506394,543741,547347,580979
20,42.4439,420,27220,191174,1809,271533,125,1,521351,545159,585730,645949
21,42.1122,453,29499,255864,1502,225758,106,1,557707,569793,578802,586204
22,40.8514,2627,23266,241390,1548,245685,124,1,565636,599887,610842,717988
23,41.4499,433,32713,298795,1302,221233,110,1,584178,605498,606795,616897
24,39.7758,425,29785,280501,2048,263572,123,1,601517,643076,645868,743233
25,40.5837,3792,29904,221468,1934,316875,145,1,620718,674409,683903,686383
26,41.8987,3383,37334,206288,2166,331719,152,0,629771,666678,681116,857810
27,42.784,410,30403,302134,2086,291346,131,1,664349,687261,688169,707789
28,44.765,431,22197,358422,2021,265123,123,1,681880,713554,725786,788690
29,44.5973,426,25499,328127,2429,323341,145,1,723422,744851,748860,773219
30,46.9267,406,30001,343436,2306,295319,139,0,694419,760342,784973,849414
31,47.44,384,35017,98522,4020,535622,251,0,702412,727403,728795,730154
32,42.437,483,24011,372256,2776,331865,147,1,767645,818400,845854,880381
33,42.9481,379,39539,361758,1996,331088,142,0,794450,818996,834770,836987
34,45.4381,443,28415,372824,2710,362874,157,1,798779,824913,828734,1152392
35,46.4373,416,40609,396502,2490,341048,143,0,817533,884377,893863,1041666
36,47.2665,440,27507,377891,2805,383454,159,1,833255,846899,851986,857003
37,45.2753,427,34273,490074,2251,291216,132,1,848939,879405,891382,896145
38,40.616,401,32360,366576,3649,441045,176,1,871269,896633,1115525,1119451
39,47.2729,404,32887,503901,2368,307064,145,0,880895,906499,910824,960879
40,43.0905,383,35447,449983,3058,396661,171,0,919986,972067,975193,987962
41,42.4455,407,30223,360532,3669,496658,223,0,919267,975070,977494,978728
42,43.9379,438,30134,356720,4628,498709,205,0,924444,1115887,1117567,1119383
43,45.6095,384,53050,211764,5172,663844,241,0,984812,1023743,1027474,1034437
44,45.9391,409,27363,521901,3161,394813,171,0,967376,1031428,1033471,1256517
45,48.2122,445,26762,447870,4056,471243,208,0,980209,1011525,1123061,1130119
46,47.2678,966,45108,508772,3227,439278,178,0,1023276,1049043,1063625,1252823
47,48.9277,441,48767,475015,3944,475190,210,1,1038242,1053976,1071308,1075743
48,49.1239,396,36652,485137,3214,490061,190,4,1049295,1061579,1064072,1066887
49,51.2038,513,39562,523071,4028,480761,171,0,1075536,1157819,1166153,1169402
50,51.2079,389,35461,475690,3918,560038,219,0,1094946,1170645,1173251,1176005
51,50.8723,4233,26889,498879,4316,513071,225,1,1040475,1067239,1117597,1131602
52,52.8545,382,29006,501040,3648,511359,213,0,1053464,1058395,1059507,1059967
53,52.8731,395,40861,501693,4545,530479,204,0,1078265,1084497,1085392,1086046
