Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,3.64178,563,5848,252,297,266519,90,1,273478,274450,275057,278389
2,3.73696,649,6348,258319,264,265851,91,1,532676,533509,533940,535760
3,4.66486,607,11002,294987,393,339915,98,1,644941,646202,647268,649736
4,5.13112,577,7924,368901,515,403006,104,1,758103,1023764,1026613,1136785
5,5.60484,576,10178,448858,547,443279,107,2,871017,1138158,1248434,1250149
6,5.92333,546,14800,515848,649,494004,121,1,982579,1360535,1362907,1472438
7,6.03571,547,14679,579268,747,557613,135,1,1096032,1475847,1587428,1592541
8,6.49679,565,21930,574266,876,632391,142,1,1206410,1476893,1586335,1589679
9,6.63672,1002,19965,637680,960,662575,158,1,1314788,1586722,1700431,1773661
10,7.04196,581,23730,681594,1184,731729,166,1,1435345,1438227,1702273,1780247
11,7.07773,565,21246,689109,1357,818382,165,1,1510448,1890729,1912171,1993249
12,7.26892,575,19030,736702,1423,883105,171,1,1640870,1643849,1644653,1645949
13,7.42474,546,26151,742590,1653,960790,170,1,1727268,1730238,1731079,1732645
14,7.38795,521,25769,749602,1839,1113803,188,1,2079120,2191424,2192980,2195425
15,7.62712,2794,32428,743969,1834,1129282,185,1,1919436,2181869,2289632,2296421
16,7.54117,570,19895,798395,2360,1211352,192,1,2032106,2317476,2410867,2412215
17,7.63204,2494,27678,792702,2200,1279036,207,8,2107345,2544547,2599735,2601879
18,7.94844,582,22611,927170,2276,1263083,205,1,2216210,2218480,2219172,2220831
19,8.13836,597,22585,1022453,2446,1287956,199,1,2336693,2339868,2340903,2343180
20,8.56696,486,40164,790984,2808,1507082,237,1,2342378,2347726,2349870,2350540
21,8.58648,547,41779,949523,2654,1490299,223,1,2452002,2457157,2934132,2939979
22,8.4306,508,44708,797495,3114,1798885,252,1,2644618,2649550,2650308,2651419
23,8.39539,504,33618,989853,3174,1807746,259,1,2757706,3139308,3141010,3145121
24,8.49578,501,40031,948476,3293,1903027,261,1,2896019,2902535,2904582,2905694
25,8.38396,568,38059,1002490,3511,1931190,259,1,2977142,3251750,3253037,3470295
26,8.66122,596,32017,857769,3686,2143537,279,1,3037547,3043757,3046750,3050039
27,8.24283,5778,28436,829815,3956,2261402,323,3,3153781,3512495,3517011,3529294
28,8.39552,513,36913,1004192,3985,2213884,292,1,3259714,3264144,3265261,3268936
29,8.28112,470,45822,1098341,3445,2186702,285,1,3380242,3646597,3649181,3656629
30,8.7093,523,25220,917688,4187,2433849,309,1,3367412,3757616,3761573,3767500
31,8.85217,531,39010,865219,4482,2574411,377,1,3484377,3489646,3490740,3491888
32,9.13776,473,39675,840897,4563,2682063,320,2,3543226,3922958,3923872,3925415
33,9.17679,544,33596,909772,4849,2681921,338,1,3630647,3637913,3640962,3643833
34,8.8647,440,37298,916143,4568,2815882,372,1,3740064,4157180,4161180,4161775
35,8.95432,494,48964,1085608,4847,2708955,378,1,3863137,4340104,4343728,4348197
36,8.64958,532,36042,937546,5102,3073926,353,1,4360915,4594739,4596948,4600117
37,9.24532,486,35759,1632854,5051,2420833,302,1,4095975,4101373,4102611,4104058
38,9.19533,511,37537,1166588,5512,2845529,350,1,4097323,4475874,4478660,4481820
39,8.84755,486,46400,1112608,5469,3275851,396,1,4440908,4447719,4448961,4455402
40,8.71061,467,42216,940445,6264,3510665,418,1,4485837,4984119,4985910,4989124
41,8.62062,473,40007,1189388,5598,3425308,401,1,4914352,5126730,5129759,5132399
42,9.13832,485,65125,923601,6200,3669045,466,1,4660834,4668933,4670046,4671692
43,9.09939,535,44270,864738,6245,3838591,403,0,4750294,5116240,5119311,5124235
44,8.9185,473,47717,978029,6450,3848755,445,1,5133646,5226879,5228333,5233278
45,9.16158,487,41679,1163083,6923,3669278,438,1,4908379,5014322,5015892,5323215
46,9.19572,427,57662,916811,7383,4020149,444,1,4963789,5237159,5238353,5241980
47,9.51503,6568,54762,889288,7848,4122091,428,1,5061458,5331119,5337867,5343260
48,9.22591,7210,52312,1022005,6350,4046429,520,2,5163041,5500898,5517006,5542940
49,9.41844,424,60846,1045126,7312,4114919,493,1,5229137,5234386,5234987,5238322
50,8.78834,16062,53428,1005611,7472,4109774,365,1,5489836,5523622,5537500,5685176
51,8.82198,27927,50086,936375,7224,4352332,437,1,5752763,5929105,5932822,5940565
52,9.01236,17912,50348,1055408,6993,4357300,464,1,5717345,5938832,5970464,5978338
53,8.73119,467,54802,1102176,7588,4623233,451,0,5771922,6255944,6257606,6260250
54,9.05046,442,57765,1306636,8125,4189624,517,0,5736138,5919518,5920657,5923101
55,9.27108,9463,40079,736842,8946,5157484,575,0,6138029,6286007,6287650,6292245
56,9.43814,9214,72617,634466,9860,5339877,504,1,6190914,6304257,6308210,6311433
57,9.20208,8931,51405,954728,8237,5016256,498,1,6094208,6324276,6343026,6352842
58,9.66013,463,55396,2411743,7460,3624880,397,1,6099851,6107275,6108028,6109394
59,9.16075,23202,61379,767717,9003,5346820,528,1,6410609,6513695,6515835,6520826
60,9.57247,10960,68562,743149,9393,5606888,573,1,6627801,6642254,6644256,6645902
61,9.62545,457,66171,889907,9939,5441049,547,0,6406401,6419975,6421673,6422751
62,9.39399,439,64339,798002,9564,5717041,578,2,6718053,6867758,6874996,6879613
63,9.29698,23252,60719,908897,8592,5510620,539,1,6774321,6891380,6911675,6933473
64,9.59406,560,48382,993479,9647,5651321,643,1,6625259,6895917,6899868,6909975
65,9.51795,11577,67826,891866,12936,5714819,591,1,6865603,7001961,7004207,7013251
66,9.4786,32342,71411,624546,19027,5949404,609,1,6912857,7162610,7165702,7168292
67,9.47225,28366,76954,611206,18684,5995455,571,1,6640724,7242627,7244122,7251101
68,9.50614,25371,79625,593776,20000,6040409,534,0,6686012,6790441,6814957,12983423
69,9.61117,27060,75005,721679,20420,5989586,533,1,6692243,6901515,7151744,12993670
70,9.75529,14073,60865,1094289,20366,5915038,519,1,6924616,7023208,7296167,13222124
71,9.85089,16901,84408,1217056,17750,5870800,526,1,7009079,7366936,7421840,13305124
72,9.85076,15175,55972,1339298,19803,5876223,599,0,6923695,7236930,7513254,13223630
73,9.9458,13522,62557,1480717,18022,5832216,547,0,7002833,7563344,7911251,13300876
74,9.99366,15435,74662,1586307,18837,5813379,509,0,7212192,7697741,13095821,13504681
75,9.76691,18995,47518,1816411,18276,5714151,487,0,7449019,7808721,12986664,13728524
76,9.81212,465,80571,1928644,17087,5695554,529,1,7515804,7891725,12982649,13812074
77,9.44877,442,50921,1885318,19179,5864695,494,1,6825393,13095736,13114480,13826379
78,9.99388,758,57122,2255729,20378,5608102,538,0,7525371,8137704,13223214,13826513
79,9.54029,528,69934,2097236,14788,5830656,502,2,7725029,13082614,13086553,14026340
80,9.63042,509,64576,2244780,17535,5785705,508,0,7712927,13209249,13217733,14017391
