Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,9.49362,491,5483,261,262,98365,74,1,104584,105201,107758,109614
2,10.0597,559,5832,92029,259,98101,73,1,197087,197716,198057,200157
3,12.2769,619,6005,111568,345,123444,81,1,238590,240677,336923,337661
4,13.8193,668,8988,133403,470,142686,89,1,280647,377664,380969,421752
5,14.7352,684,9724,158713,558,166660,103,1,323609,424766,463505,505393
6,15.4874,755,10793,189834,646,180213,104,1,365403,505856,507414,548790
7,16.4321,799,21248,195198,722,203210,116,1,404983,547493,549940,586570
8,17.2022,521,15996,237978,834,219999,117,1,450068,591644,593038,631665
9,17.5139,1062,14550,249268,844,238383,126,1,478106,656214,667104,672009
10,17.5244,1416,18632,252590,1041,270299,128,1,530061,670649,702161,747024
11,17.9361,1310,20745,284610,1154,279802,126,1,656079,707023,749521,775741
12,18.5295,1445,23079,292329,1276,312032,135,1,699285,744802,748970,760324
13,18.5231,2085,16042,290574,1381,349764,141,6,727435,784509,816441,819928
14,20.5326,480,21112,269130,1697,415955,144,1,766597,809960,814236,875345
15,19.7547,522,18198,406168,1420,335359,144,1,821654,890748,902565,944055
16,20.5335,477,22023,404526,1579,365366,143,1,856023,936842,967043,972077
17,21.0882,537,20707,401877,1711,403279,151,1,894222,958276,993500,1091064
18,20.0811,2450,25855,295800,2151,500856,171,1,895882,950149,958735,960991
19,21.1813,3029,34097,315510,2436,521684,189,1,957091,1005683,1045559,1048332
20,21.5356,448,41053,286175,2576,602339,182,1,998229,1067592,1071155,1077427
21,22.7538,518,26838,408617,2419,525793,173,1,1006992,1081680,1124812,1128271
22,22.3084,456,31639,465716,2070,491488,163,1,1057858,1110974,1114313,1173961
23,24.0949,448,33212,251778,3185,763736,226,1,1115721,1154427,1182614,1183488
24,21.9768,463,26909,503180,2394,539555,181,1,1151381,1235137,1280958,1284394
25,23.2211,460,48442,498024,2849,591627,202,1,1191235,1268001,1463091,1464431
26,23.5965,448,25371,545163,2409,535624,184,1,1093142,1227610,1233961,1267688
27,21.3097,458,29082,428128,3277,739468,209,1,1282319,1477538,1557261,1561822
28,23.5312,479,29802,538454,3105,586974,206,1,1158694,1165252,1166498,1167291
29,21.6467,473,33529,484076,3406,725014,216,1,1336336,1383297,1384854,1429917
30,21.4204,467,31125,571856,3034,709795,210,1,1382778,1489161,1498119,1500448
31,22.3278,7082,33463,373305,3782,857747,266,1,1357274,1442194,1445492,1514925
