Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,14.739,470,5491,258,248,61071,55,1,67029,70275,70937,72802
2,16.3488,520,5842,54714,217,60578,58,1,121715,124097,124376,128399
3,19.7581,517,5903,66503,319,76261,64,1,147402,151150,207967,210696
4,21.6464,552,7647,83417,392,89551,67,1,173741,235064,236158,260754
5,23.9751,585,7795,97875,438,99514,76,1,199566,284341,285533,288095
6,25.1955,709,8955,110019,530,115159,83,1,225338,311097,313118,337478
7,25.9476,755,10814,125183,622,126187,85,1,251730,337528,339116,363303
8,26.463,977,14484,143826,650,130178,92,1,277062,362682,365113,390113
9,28.2628,1035,23776,125407,884,162449,94,1,350044,388580,390099,391493
10,29.7926,444,20082,158359,871,167129,114,1,380897,415461,418697,455823
11,30.1221,429,18904,170542,991,178676,102,1,408555,436435,440243,532528
12,29.9587,2008,22883,176746,980,185874,101,1,431109,462979,465778,484087
13,29.7946,1645,27192,138158,1389,239536,111,1,453222,474603,476247,478026
14,30.9409,1787,23804,145101,1330,253260,110,1,469212,494183,496826,499532
15,32.9401,1732,23211,122264,1627,294808,126,1,473614,499066,501129,508593
16,31.9341,2180,27644,137548,1733,292097,129,1,499789,530159,544250,725757
17,32.9596,404,24327,266032,1341,226386,104,1,561568,584369,601955,606594
18,34.4526,433,27126,298513,1046,214593,112,1,581635,606616,609554,628100
19,32.5061,3167,25638,266258,1288,250906,115,1,589997,645914,663346,703776
20,33.9563,398,26180,274287,1431,272847,123,1,614402,642157,652855,657262
21,33.5478,4049,26063,294360,1317,267960,119,1,645716,668360,694195,779057
22,36.6156,452,23698,303853,1614,287653,124,1,653185,688741,696569,870939
23,35.7854,445,30577,375452,1494,249801,115,1,694951,719482,758705,765382
24,37.9415,402,33348,267135,2342,371327,139,3,703178,870237,885586,887077
25,37.6185,382,26251,323792,2096,330421,130,1,709924,737241,764207,767647
26,33.9097,5006,23441,335912,2028,326751,134,1,739568,784789,788477,873470
27,35.7855,431,37037,374183,1662,309762,120,1,762465,807082,833501,835351
28,37.615,436,27638,395966,2062,338303,144,0,806066,851273,854732,903914
29,37.9452,405,30965,396358,2040,336926,138,1,799552,831722,843848,851127
30,39.2788,385,27410,401810,2281,376110,144,1,842288,870547,871864,874342
31,37.7791,409,22687,511211,1790,304360,122,0,875956,886217,894605,908711
32,34.7868,432,24941,290117,3492,527897,200,0,896778,945217,951458,954720
33,34.5816,7475,32569,175243,3450,619047,228,6,869707,906283,907285,908285
34,36.2857,392,30454,477309,2287,379899,135,1,929873,949702,1017792,1021043
35,36.9552,422,28241,443536,2796,445900,167,1,962742,1011146,1016172,1026653
36,36.4533,421,48919,443222,2587,438343,156,1,977043,1036636,1041743,1233925
37,39.281,429,25215,575899,2331,351979,149,1,1011716,1057595,1059784,1065120
38,38.2847,415,26358,510289,2839,467007,165,1,1035692,1071196,1081948,1411483
39,40.277,1669,29548,515401,2839,481402,162,0,1060102,1088910,1090909,1094784
40,41.1132,397,40511,157725,5341,830531,246,0,1070101,1084728,1086091,1090595
41,40.9468,413,41102,479629,2871,514609,187,0,1038258,1044672,1045829,1048453
42,42.1123,396,39496,514698,2912,519370,173,1,1058017,1148585,1179530,1184125
43,42.9423,400,33620,513099,2977,533489,209,0,1076351,1079863,1189764,1194626
44,38.1211,411,30594,692393,2412,389739,161,1,1152066,1200096,1221214,1224737
45,43.7748,423,44079,469356,4417,585690,228,0,1134897,1202733,1205091,1208342
46,39.7774,433,32704,725630,2439,404523,159,1,1203470,1276249,1286539,1290973
47,37.5189,364,55845,448931,4402,661149,219,1,1213290,1438838,1441541,1443334
48,40.4353,353,45185,550549,4073,577024,196,0,1171369,1260704,1277489,1281660
49,37.7872,394,60383,584957,3548,575825,202,0,1201981,1335300,1357704,1363235
50,51.2062,397,49129,495304,5188,732011,220,0,1325966,1346201,1349002,1350314
51,39.2816,448,37762,588264,3881,611926,219,0,1235217,1312939,1376297,1379814
52,38.9854,11585,38047,527207,3653,599877,211,0,1245067,1351196,1376448,1631494
53,40.1164,361,36809,589462,3714,636888,222,0,1267897,1271548,1272207,1279602
54,40.453,455,31255,619023,4116,641777,207,1,1297148,1300649,1301813,1304219
55,41.7883,402,33072,608187,3769,663664,231,1,1309200,1315946,1316596,1317555
56,42.2858,429,30164,622952,3736,657189,232,0,1314830,1321623,1322409,1324868
57,42.9487,380,56888,612688,4340,667401,225,0,1341084,1348470,1349471,1349901
58,42.9432,379,29549,649803,4032,670047,218,0,1353926,1359500,1360735,1361911
59,44.4432,411,34152,655147,5177,688584,225,0,1384039,1388731,1389784,1392393
60,44.613,377,43221,658719,4199,690627,250,0,1396389,1404145,1404800,1408249
61,45.4415,952,35553,694948,4629,697331,245,1,1415426,1420984,1425163,1803675
62,35.5695,10278,32030,577714,5200,781158,252,1,1544414,1588921,1636400,1638809
63,35.095,15596,30174,531120,5547,831093,262,1,1524101,1569059,1571611,1795246
64,35.7852,428,45014,532404,7125,943945,332,1,1595205,1653330,1665108,1772990
65,43.2767,362,55374,680446,4617,804900,248,0,1546155,1549720,1550907,1552566
66,37.5594,10567,39555,330324,10793,1117035,326,0,1618159,1896391,1916194,1927042
67,44.7573,394,51997,731208,4917,797926,272,0,1589699,1604584,1607274,1608013
68,35.1184,383,73287,712446,5105,807761,253,0,1681380,1934662,1936053,1937923
