scheduler_type;throughput_level;scenario_id;timestamp;device;num_requests;num_frames;mean_excess_latency_s;mean_percent_excess;total_energy_j;requests_per_joule;frames_per_joule;max_temperature_c;mean_temperature_c;min_temperature_c;max_gpu_freq_mhz;avg_gpu_freq_mhz;min_gpu_freq_mhz;num_time_out;percent_time_out;percent_requests_within_constraint;percent_frames_within_constraint;percent_completed_frames_within_constraint
loud_pred;40;t40_s4;2025-09-27_16:51:41;nano0;1352;1352;0,0040426937869822484;0,401482074442337;330,04460000000006;4,096416060132478;4,096416060132478;24,0;22,056549749463134;21,0;76;76,0;76;0;0,0;99,77810650887574;99,77810650887574;99,77810650887574
loud_pred;40;t40_s4;2025-09-27_16:51:41;nano1;1352;1352;0,0040426937869822484;0,401482074442337;334,25440000000003;4,044823344135485;4,044823344135485;28,0;26,34053275737941;25,0;76;76,0;76;0;0,0;99,77810650887574;99,77810650887574;99,77810650887574
loud_pred;40;t40_s4;2025-09-27_16:51:41;nx0;1352;1352;0,0040426937869822484;0,401482074442337;1628,3886;0,8302686471767243;0,8302686471767243;47,0;43,75426136363637;38,5;1007;656,5056818181819;114;0;0,0;99,77810650887574;99,77810650887574;99,77810650887574
loud_pred;40;t40_s4;2025-09-27_16:51:41;nx1;1352;1352;0,0040426937869822484;0,401482074442337;910,5086000000001;1,4848843822013322;1,4848843822013322;44,0;41,71044776119403;40,0;905;214,9410447761194;114;0;0,0;99,77810650887574;99,77810650887574;99,77810650887574
loud_prof;40;t40_s0;2025-09-27_16:00:46;agx;1964;1964;0,0;0,0;1976,2384000000002;0,9938072248773224;0,9938072248773224;44,5;42,77014042867702;41,5;905;515,0539541759053;114;0;0,0;100,0;100,0;100,0
loud_prof;40;t40_s0;2025-09-27_16:00:46;nano0;1964;1964;0,0;0,0;320,843;6,121374005354643;6,121374005354643;23,5;22,37230883444692;21,5;76;76,0;76;0;0,0;100,0;100,0;100,0
loud_prof;40;t40_s0;2025-09-27_16:00:46;nano1;1964;1964;0,0;0,0;324,1804;6,0583551627427195;6,0583551627427195;27,0;25,664444444444445;25,0;76;76,0;76;0;0,0;100,0;100,0;100,0
loud_prof;40;t40_s0;2025-09-27_16:00:46;nx0;1964;1964;0,0;0,0;1128,0924000000002;1,740992138587229;1,740992138587229;45,0;43,51626323751891;42,5;1007;410,1369137670197;114;0;0,0;100,0;100,0;100,0
loud_prof;40;t40_s0;2025-09-27_16:00:46;nx1;1964;1964;0,0;0,0;804,157;2,442309151073733;2,442309151073733;42,0;40,925390625;40,0;1007;132,1390625;114;0;0,0;100,0;100,0;100,0
loud_prof;40;t40_s1;2025-09-27_16:16:15;agx;3298;3298;0,8286117598544573;5,308730467967023;2499,0262000000002;1,3197140550187108;1,3197140550187108;49,5;44,34203389830508;42,5;1377;647,52;114;0;0,0;85,961188599151;85,961188599151;85,961188599151
