Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,4.72701,0.208924,4.49962,0.9875858372399999
2,4.8261,0.41386999999999996,4.63594,1.997378007
3,4.823729999999999,0.530274,5.29947,2.55789860202
4,4.86924,0.658853,5.66541,3.2081133817199996
5,4.89196,0.786944,5.87353,3.84969857024
6,4.85891,0.93579,5.6243,4.5469193889
7,4.89466,1.0236779999999999,5.87427,5.010555759479999
8,4.83263,1.13705,6.49756,5.4949419415
9,4.88108,1.242083,6.74831,6.06270648964
10,4.92663,1.359092,6.42765,6.69574341996
11,4.93204,1.4898319999999998,6.42765,7.347911017279999
12,4.9284799999999995,1.626171,6.42765,8.01455125008
13,4.9355400000000005,1.76606,6.42765,8.7164597724
