Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,3.77827,0.28674299999999997,3.33289,1.0833924746099999
2,3.81529,0.5705629999999999,3.39955,2.1768633082699997
3,3.82636,0.742954,3.84556,2.84280946744
4,3.8118200000000004,0.9295129999999999,4.08299,3.5431362436600002
5,3.7925,1.075909,4.27234,4.0803848825
6,3.79027,1.247681,4.6351,4.72904786387
7,3.7829699999999997,1.4212319999999998,4.45374,5.376478019039999
8,3.78104,1.588006,4.79904,6.00431420624
9,3.76206,1.7688679999999999,4.45333,6.654587548079999
10,3.78468,1.9330839999999998,4.4991,7.316104353119999
11,3.7891399999999997,2.128182,4.4991,8.063979543479999
12,3.75998,2.326411,4.4991,8.74725883178
13,3.76112,2.52376,4.4991,9.492164211199999
