Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,2.9813,0.5330119999999999,1.81448,1.5890686755999999
2,2.99907,1.062138,1.81448,3.1854262116600003
3,2.97805,1.377202,2.0865,4.1013764161
4,2.98653,1.726237,2.18132,5.15545858761
5,2.94632,2.0533069999999998,2.33278,6.049699480239999
6,2.9792,2.393413,2.40865,7.1304560096
7,2.9476500000000003,2.715398,2.19956,8.004042914700001
8,2.98679,3.065121,2.39928,9.15487275159
9,2.9306,3.3968249999999998,2.333,9.954735345
10,2.91724,3.7351219999999996,2.49958,10.89624730328
11,2.91853,4.110244,2.22173,11.99587042132
12,2.9180900000000003,4.490563,2.22111,13.10386698467
13,2.95512,4.862833,2.22185,14.370255054960001
