Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,2.26538,0.892154,1.0886,2.02106782852
2,2.68918,1.5734979999999998,1.25615,4.23141935164
3,2.62121,2.040276,1.39972,5.34799185396
4,2.63719,2.565242,1.45428,6.76503054998
5,2.69458,3.045026,1.48349,8.205066159080001
6,2.6428200000000004,3.561981,1.48453,9.41367462642
7,2.65767,4.03024,1.51693,10.7110479408
8,2.64822,4.554841,1.59952,12.062221033019998
9,2.60973,5.041632,1.58029,13.157298279359999
10,2.6164,5.556515,1.6068,14.538065846
11,2.62962,6.117418,1.60674,16.08648472116
12,2.6340700000000004,6.674226,1.60674,17.580378479820002
13,2.63943,7.239034999999999,1.60674,19.106926150049997
