Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,5.76288,0.17993399999999998,5.19948,1.0369380499199998
2,5.919300000000001,0.35638,5.39946,2.1095201340000003
3,5.94942,0.450758,6.24922,2.68174866036
4,5.963430000000001,0.541134,6.999,3.2270147296200005
5,5.8631899999999995,0.688758,6.71045,4.038319018019999
6,5.9078599999999994,0.774342,7.28467,4.57470412812
7,5.87182,0.875284,7.49875,5.13951009688
8,5.975210000000001,1.0040959999999999,7.42645,5.99968446016
9,6.00455,1.092112,6.85616,6.5576411096
10,6.08722,1.140471,7.49875,6.94229788062
11,6.067,1.252418,7.4975,7.5984200060000004
12,6.04378,1.371027,7.4975,8.28618556206
13,6.02517,1.486433,7.49875,8.95601151861
