Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,3.55458,0.335729,2.83286,1.19337558882
2,3.5599499999999997,0.6663859999999999,2.94066,2.3723008406999995
3,3.56362,0.862483,3.33289,3.07356166846
4,3.55092,1.047101,3.69174,3.71817188292
5,3.5221999999999998,1.2620719999999999,3.69174,4.445269998399999
6,3.501,1.476923,3.999,5.170707423
7,3.50952,1.6680709999999999,3.76807,5.85412853592
8,3.50214,1.885859,3.99933,6.60454223826
9,3.48041,2.086483,3.76836,7.261816298029999
10,3.48104,2.291896,3.74906,7.97818165184
11,3.4881599999999997,2.5296659999999997,3.74938,8.823879754559998
12,3.53077,2.7548269999999997,3.74938,9.726660526789999
13,3.48487,2.9905559999999998,3.74938,10.421698887719998
