Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,3.9970700000000003,0.25288,3.71376,1.0107790616
2,4.10625,0.5023759999999999,3.76894,2.06288145
3,4.0607500000000005,0.6450239999999999,4.36324,2.619281208
4,4.04985,0.810128,4.54463,3.2808968808
5,4.0314499999999995,0.986319,4.69953,3.9762957325499992
6,4.043760000000001,1.085593,5.09898,4.38987754968
7,3.99506,1.241517,4.89853,4.95993490602
8,4.03777,1.385773,5.33215,5.59543264621
9,4.02412,1.540938,4.99889,6.2009194245599994
10,4.02916,1.68176,5.62359,6.7760801216
11,4.03615,1.8567939999999998,4.99944,7.4942991030999995
12,4.0606,2.0193749999999997,4.99944,8.199874125
13,4.07825,2.192411,4.99875,8.941200160749998
