Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,5.2732,0.191348,4.90864,1.0090162736
2,5.42171,0.378737,4.9995,2.05340218027
3,5.421279999999999,0.477977,5.88823,2.5912471505599997
4,5.459770000000001,0.620595,6.24922,3.3883059631500005
5,5.38747,0.714348,6.49919,3.84852841956
6,5.41413,0.8167519999999999,6.71429,4.42200150576
7,5.4274700000000005,0.933627,6.998,5.06723253369
8,5.395090000000001,1.035582,7.42645,5.58705809238
9,5.49353,1.132331,7.14082,6.220494318429999
10,5.51166,1.227296,7.49875,6.7644382713599995
11,5.49972,1.354739,6.66667,7.450685173079999
12,5.483020000000001,1.485539,6.66556,8.145240047780002
13,5.5097,1.606098,6.66556,8.849118150599999
