Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,8.85969,0.047864,17.4253,0.42406020216
2,10.31854,0.089546,19.8562,0.92398398284
3,10.08965,0.10814,24.6841,1.091094751
4,10.35075,0.135265,26.4583,1.40009419875
5,10.289250000000001,0.157958,28.2858,1.6252693515
6,10.67135,0.185132,30.29,1.9756083682
7,10.44369,0.206817,30.6167,2.15993263473
8,10.53137,0.226243,32.1249,2.3826487429100003
9,10.51566,0.247411,32.9367,2.60168995626
10,10.747160000000001,0.27148,32.7978,2.9176389968
11,10.84396,0.290107,35.7846,3.14590870372
12,10.716180000000001,0.305843,35.7854,3.2774686397400004
13,11.05331,0.34223899999999996,36.441,3.7828737610899994
14,10.426620000000002,0.357581,36.2838,3.7283612062200002
15,10.6023,0.38054,35.5321,4.034599242
16,10.67876,0.400893,35.762,4.28104013268
17,11.049370000000001,0.428064,37.6091,4.72983751968
18,10.69644,0.45486099999999996,37.7807,4.86539339484
