Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,9.25378,0.043607,18.8648,0.40352958446000003
2,11.31958,0.076527,23.0912,0.86625349866
3,11.051549999999999,0.098759,27.2929,1.09144002645
4,11.037690000000001,0.12429499999999999,28.9664,1.3719296785500001
5,11.364180000000001,0.145613,31.625,1.65477234234
6,11.41153,0.171823,31.8943,1.9607633191900002
7,11.33023,0.187023,33.0854,2.11901360529
8,11.38706,0.204753,35.6184,2.33153469618
9,11.94425,0.22450799999999999,35.5913,2.681579679
10,11.862,0.24948499999999998,37.2767,2.9593910699999997
11,11.91,0.266445,39.3023,3.17335995
12,11.98366,0.29435,38.4465,3.527390321
13,11.83658,0.29949,38.9071,3.5449373441999996
14,12.042370000000002,0.329134,38.9458,3.9635534075800005
15,11.8755,0.350763,40.2808,4.1654860065
16,12.12581,0.369845,41.2784,4.48467019945
17,11.624690000000001,0.397371,37.8164,4.61931468999
18,11.75714,0.437206,38.9463,5.14029215084
