Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,6.23087,0.11410899999999999,7.99587,0.71099834483
2,6.50457,0.215308,8.77243,1.40048595756
3,6.34421,0.280132,10.1934,1.77721623572
4,6.3773599999999995,0.34385699999999997,11.1259,2.1928998775199995
5,6.4315,0.402562,12.0627,2.589077503
6,6.35973,0.457408,12.4482,2.90899137984
7,6.45244,0.5182169999999999,12.8342,3.3437640994799995
8,6.57016,0.563342,13.3155,3.70124707472
9,6.5506400000000005,0.649932,13.4517,4.25747055648
10,6.60787,0.684619,14.2384,4.52387335153
11,6.624720000000001,0.719071,14.8228,4.7636440351200005
12,6.455760000000001,0.77242,14.5716,4.9865581392000005
13,6.54072,0.8334229999999999,14.1539,5.45118648456
14,6.567,0.89898,14.9862,5.9036016600000005
15,6.48047,0.964607,14.6539,6.2511067252900006
16,6.550560000000001,0.983077,14.9682,6.439704873120001
17,6.64621,1.066956,15.8951,7.09121363676
18,6.66219,1.125049,15.1551,7.495290197309999
