Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,7.78519,0.061396,14.1557,0.47797952524
2,8.39404,0.11232199999999999,16.3193,0.94283536088
3,8.19576,0.147342,19.0917,1.20757966992
4,8.31916,0.179805,21.0888,1.4958265638
5,8.435049999999999,0.211504,22.2008,1.7840468151999997
6,8.685030000000001,0.236641,23.1972,2.05523418423
7,8.74394,0.272885,23.5106,2.3860900669
8,8.63722,0.30280999999999997,25.6202,2.6154365881999997
9,8.631,0.33088799999999996,25.5375,2.8558943279999998
10,8.78625,0.35590499999999997,25.8233,3.12707030625
11,9.11012,0.370814,27.4445,3.37816003768
12,8.9207,0.40490899999999996,27.7984,3.6120717162999996
13,8.82175,0.432237,26.6158,3.8130867547499996
14,9.071299999999999,0.458289,27.4324,4.157277005699999
15,9.133379999999999,0.488181,28.0747,4.458742581779999
16,8.700209999999998,0.5414,27.9614,4.710293693999999
17,8.769350000000001,0.556442,28.7952,4.879634652700001
18,9.239139999999999,0.583085,29.6306,5.387203946899999
