Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,8.0058,0.054594,15.4855,0.4370686452
2,8.665379999999999,0.097078,18.5376,0.8412177596399999
3,8.87173,0.12678599999999998,21.9789,1.1248111597799997
4,8.99511,0.154674,23.418,1.3913096441400001
5,9.01528,0.181833,24.8236,1.63927540824
6,9.36056,0.213358,25.7102,1.9971503604799998
7,9.37741,0.233307,26.9495,2.18781539487
8,9.32188,0.25851199999999996,29.2929,2.40981784256
9,9.467459999999999,0.283668,29.963,2.6856154432799997
10,9.7406,0.300125,30.4593,2.923397575
11,9.53915,0.31310499999999997,30.4898,2.9867555607499994
12,9.91381,0.349949,30.1214,3.46932789569
13,9.7623,0.37035799999999997,31.365,3.6155459033999997
14,9.39557,0.397489,33.2811,3.7346357237299994
15,9.905190000000001,0.43182699999999996,33.9576,4.27732848213
16,9.79362,0.460551,33.2837,4.51046148462
17,9.97481,0.500176,31.8246,4.98916056656
18,9.43705,0.549217,31.4439,5.182988289849999
